,,,,,,,,Hôtels classés en 2012,Hôtels classés sans étoile en 2012,Hôtels classés 1 étoile en 2012,Hôtels classés 2 étoiles en 2012,Hôtels classés 3 étoiles en 2012,Hôtels classés 4 étoiles ou plus en 2012,Chambres dans hôtels classés en 2012,Chambres dans hôtels classés sans étoile en 2012,Chambres dans hôtels classés 1 étoile en 2012, Chambres dans hôtels classés 2 étoiles en 2012,Chambres dans hôtels classés 3 étoiles en 2012,Chambres hôtels classés 4 étoiles ou plus en 2012,Hôtels classés en 2008,Hôtels classés sans étoile en 2008,Hôtels classés 1 étoile en 2008,Hôtels classés 2 étoiles en 2008,Hôtels classés 3 étoiles en 2008,Hôtels classés 4 étoiles ou plus en 2008,Chambres dans hôtels classés en 2008,Chambres dans hôtels classés sans étoile en 2008,Chambres dans hôtels classés 1 étoile en 2008,Chambres dans hôtels classés 2 étoiles en 2008,Chambres dans hôtels classés 3 étoiles en 2008,Chambres hôtels classés 4 étoiles ou plus en 2008,Campings classés en 2012,Campings classés 1 étoile en 2012,Campings classés 2 étoiles en 2012,Campings classés 3 étoiles en 2012,Campings classés 4 étoiles en 2012,Emplacements de camping en 2012,Emplacements camping classés 1 étoile en 2012,Emplacements camping classés 2 étoiles en 2012,Emplacements camping classés 3 étoiles en 2012,Emplacements camping 4 étoiles en 2012,Campings classés en 2008,Campings classés 1 étoile en 2008,Campings classés 2 étoiles en 2008,Campings classés 3 étoiles en 2008,Campings classés 4 étoiles en 2008,Emplacements de camping en 2008,Emplacements camping classés 1 étoile en 2008,Emplacements camping classés 2 étoiles en 2008,Emplacements camping classés 3 étoiles en 2008,Emplacements camping 4 étoiles en 2008,Résidences secondaires en 2009  (princ),Rés secondaires 1 pièce en 2009  (princ),Rés secondaires 2 pièces en 2009  (princ),Rés secondaires 3 pièces en 2009  (princ),Rés secondaires 4 pièces en 2009  (princ),Rés secondaires 5 pièces ou plus en 2009  (princ),Logements en 2009  (princ),Rés secondaires 1 seul logement en 2009  (princ),Rés secondaires 2 logements ou plus en 2009  (princ),Rés secondaires autres (mobil-home…) en 2009  (princ)
33087,72,33,333,3338,7204,243301512,Camiran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,1,5,213,12,0,0
33088,72,33,335,3322,7205,200027068,Camps-sur-l'Isle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,238,3,0,0
33089,72,33,331,3307,7204,200023794,Campugnan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,12,0,226,13,0,2
33090,72,33,332,3359,7204,243301165,Canejan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,2329,6,0,0
33091,72,33,334,3320,7204,243301447,Cantenac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,2,524,5,0,0
33092,72,33,333,3348,7204,243301298,Cantois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,95,1,0,0
33093,72,33,333,3317,7204,243301173,Capian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,2,7,269,10,0,0
33094,72,33,335,3341,7201,243301371,Caplong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,3,8,119,13,0,0
33095,72,33,333,3318,7204,243301231,Captieux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,69,0,1,4,23,41,778,69,0,0
33096,72,33,332,3319,7204,243300316,Carbon-Blanc,1,0,0,1,0,0,14,0,0,14,0,0,1,0,0,1,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,3,4,3038,7,2,0
33097,72,33,334,3342,7206,243301413,Carcans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,5,4,0,2168,226,1147,795,0,11,2,8,1,0,1997,153,1397,447,0,2701,770,176,312,77,1366,3755,2167,515,18
33098,72,33,333,3317,7204,243301173,Cardan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,3,199,4,0,0
33099,72,33,332,3323,7204,243301355,Carignan-de-Bordeaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,3,8,1415,12,0,0
33100,72,33,331,3307,7204,200023794,Cars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,8,8,6,563,22,1,0
33101,72,33,331,3307,7204,200023794,Cartelegue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,1,9,15,12,555,39,0,0
33102,72,33,333,3338,7204,243301512,Casseuil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,11,0,0,0,196,13,0,0
33103,72,33,333,3332,7204,243301546,Castelmoron-d'Albret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,3,4,49,9,0,0
33104,72,33,334,3320,7204,243301389,Castelnau-de-Medoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,3,6,4,1666,15,0,0
33105,72,33,333,3347,7204,243301124,Castelviel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,1,90,5,0,0
33106,72,33,333,3328,7204,243301488,Castets-en-Dorthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,3,1,547,12,0,0
33107,72,33,333,3303,7204,243301520,Castillon-de-Castets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,1,128,5,0,0
33108,72,33,335,3321,7205,243301454,Castillon-la-Bataille,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,0,10,0,0,1,0,1,0,0,38,0,38,0,0,1,0,1,0,0,38,0,38,0,0,26,0,2,16,2,7,1935,25,1,0
33109,72,33,332,3327,7204,243301264,Castres-Gironde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,2,806,5,0,0
33111,72,33,333,3343,7204,243301462,Caudrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,13,516,16,0,0
33112,72,33,333,3334,7204,243301124,Caumont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,7,77,8,0,0
33113,72,33,333,3325,7204,243301231,Cauvignac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,3,64,5,0,0
33114,72,33,331,3344,7204,243301181,Cavignac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,861,3,0,0
33115,72,33,333,3350,7207,243301280,Cazalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,3,11,12,151,27,0,0
33116,72,33,333,3304,7204,243301272,Cazats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,146,3,0,1
33117,72,33,333,3334,7204,243301116,Cazaugitat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,7,7,130,12,2,1
33118,72,33,332,3323,7204,243301439,Cenac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,2,1,9,740,13,0,0
33119,72,33,332,3355,7204,243300316,Cenon,1,0,0,1,0,0,79,0,0,79,0,0,1,0,0,1,0,0,79,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,7,0,9859,8,3,0
33120,72,33,333,3336,7204,243301538,Cerons,1,0,0,1,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,799,14,0,0
33121,72,33,333,3348,7204,243301298,Cessac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,86,2,0,0
33122,72,33,332,3359,7204,243301165,Cestas,2,0,1,1,0,0,144,0,71,73,0,0,2,1,0,1,0,0,144,71,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,3,3,21,15,6700,42,3,0
33123,72,33,331,3344,7204,243301181,Cezac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,3,7,906,12,0,0
33124,72,33,335,3322,7205,200027068,Chamadelle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,297,20,0,0
33125,72,33,334,3333,7206,243300837,Cissac-Medoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,4,16,15,21,811,55,0,2
33126,72,33,331,3344,7204,243301181,Civrac-de-Blaye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,1,0,1,318,9,0,0
33127,72,33,335,3337,7204,243301454,Civrac-sur-Dordogne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,3,6,2,110,12,0,0
33128,72,33,334,3329,7206,243301421,Civrac-en-Medoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,57,7,2,3,346,69,0,0
33129,72,33,333,3347,7204,243301124,Cleyrac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,3,72,6,0,0
33130,72,33,333,3303,7204,243301488,Coimeres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,358,9,0,0
33131,72,33,333,3347,7204,243301124,Coirac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,105,11,0,0
33132,72,33,331,3315,7204,243300894,Comps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,4,4,210,10,0,0
33133,72,33,335,3337,7204,243301454,Coubeyrac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,49,4,0,0
33134,72,33,334,3329,7206,243301421,Couqueques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,5,5,4,144,15,0,0
33135,72,33,333,3348,7204,243301298,Courpiac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
33136,72,33,333,3332,7204,243301546,Cours-de-Monsegur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,136,13,0,0
33137,72,33,333,3325,7204,243301231,Cours-les-Bains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,5,4,109,10,0,0
33138,72,33,335,3322,7205,200027068,Coutras,1,0,0,1,0,0,16,0,0,16,0,0,1,0,0,1,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,22,0,22,0,0,48,7,5,4,15,16,4061,46,1,1
33139,72,33,333,3332,7204,243301546,Coutures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,45,4,0,0
33140,72,33,332,3323,7204,243301215,Creon,1,0,0,1,0,0,46,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,9,5,8,2,1884,22,1,1
33141,72,33,332,3323,7204,243301215,Croignon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,196,1,0,0
33142,72,33,331,3344,7204,243301181,Cubnezais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,5,2,3,505,10,1,0
33143,72,33,331,3339,7204,243301223,Cubzac-les-Ponts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,3,8,0,811,12,0,0
33144,72,33,333,3304,7204,243301272,Cudos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3,9,18,358,30,0,0
33145,72,33,332,3323,7204,243301215,Cursan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,5,197,5,1,0
33146,72,33,334,3320,7204,243301447,Cussac-Fort-Medoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,2,19,805,22,0,0
33147,72,33,335,3316,7204,243300795,Daignac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,3,196,6,0,0
33148,72,33,335,3316,7204,243300795,Dardenac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,48,2,0,0
33149,72,33,333,3347,7204,243301124,Daubeze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
33150,72,33,333,3332,7204,243301546,Dieulivol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,2,7,13,146,23,0,0
33151,72,33,331,3344,7204,243301181,Donnezac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,6,10,7,406,23,0,1
33152,72,33,333,3317,7204,243301470,Donzac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,68,4,0,0
33153,72,33,335,3337,7204,243301454,Doulezon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,5,8,122,15,0,0
33154,72,33,335,3322,7205,200027068,Les Eglisottes-et-Chalaures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,100,0,0,100,0,1,0,1,0,0,100,0,100,0,0,18,0,0,0,6,12,952,17,0,1
33155,72,33,333,3318,7204,243301231,Escaudes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,1,10,3,96,16,3,0
33156,72,33,333,3348,7204,243301298,Escoussans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,129,2,0,0
33157,72,33,335,3316,7204,243300795,Espiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,2,6,280,8,1,0
33158,72,33,333,3338,7204,243301512,Les Esseintes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,0,1,3,123,5,3,0
33159,72,33,331,3340,7204,243300811,Etauliers,1,0,0,1,0,0,10,0,0,10,0,0,1,0,0,1,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,5,5,5,816,16,1,0
33160,72,33,335,3341,7201,243301371,Eynesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,14,0,0,0,1,1,0,0,0,14,14,0,0,0,37,0,0,8,8,21,311,37,0,0
33161,72,33,331,3340,7204,243300811,Eyrans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,5,4,4,1,352,11,7,0
33162,72,33,332,3306,7204,243300316,Eysines,5,1,2,2,0,0,268,72,100,96,0,0,4,2,1,1,0,0,212,119,53,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,9,3,16,9,8215,36,4,0
33163,72,33,333,3348,7204,243301298,Faleyras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,174,3,0,0
33164,72,33,333,3328,7204,243301488,Fargues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,5,5,668,14,0,0
33165,72,33,332,3323,7204,243301355,Fargues-Saint-Hilaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,4,1,1208,6,0,0
33166,72,33,335,3322,7205,200027068,Le Fieu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,5,3,223,9,0,1
33167,72,33,332,3358,7204,243300316,Floirac,1,0,0,1,0,0,58,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,0,3,22,8,6903,30,10,0
33168,72,33,335,3337,7204,243301454,Flaujagues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,3,8,22,276,33,0,0
33169,72,33,333,3338,7204,243301512,Floudes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,44,2,0,0
33170,72,33,333,3338,7204,243301512,Fontet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,317,6,0,0
33171,72,33,333,3338,7204,243301512,Fosses-et-Baleyssac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,84,3,0,0
33172,72,33,331,3307,7204,200023794,Fours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,1,131,5,0,0
33173,72,33,335,3331,7205,243301553,Francs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,3,95,8,0,0
33174,72,33,335,3324,7205,243301397,Fronsac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,12,504,13,2,0
33175,72,33,333,3348,7204,243301298,Frontenac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,29,0,0,29,0,1,0,0,1,0,26,0,0,26,0,22,0,1,4,2,14,337,22,0,0
33176,72,33,333,3317,7204,243301470,Gabarnac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,4,0,158,6,0,0
33177,72,33,334,3329,7206,243301421,Gaillan-en-Medoc,1,0,0,0,0,1,7,0,0,0,0,7,1,0,0,0,0,1,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,43,0,61,1078,100,0,5
33178,72,33,333,3304,7204,243301272,Gajac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,16,0,190,14,3,0
33179,72,33,335,3324,7205,243301397,Galgon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,1,5,14,1408,21,0,0
33180,72,33,333,3304,7204,243301272,Gans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,2,5,89,9,0,0
33181,72,33,335,3321,7205,ZZZZZZZZZ,Gardegan-et-Tourtirac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,14,0,137,14,1,0
33182,72,33,331,3315,7204,243300894,Gauriac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,2,12,7,29,445,50,1,0
33183,72,33,331,3339,7204,243301223,Gauriaguet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,412,2,0,0
