SAISON,COMMUNE,NOM_DU_TIERS,NOM_EMS,MT_TARIF_ANNUEL,NB_SEMAINES_FONCTIONNEMENT_ANNUEL,NB_JEUNE_INSCRIT,NB_FILLES_INSCRITES,NB_PLAQUETTE_CG33,NB_JEUNES_6_7_ans,NB_JEUNES_8_9_ans,NB_JEUNES_10_11_ans
2008/2009,SALLEBOEUF,ASSOCIATION TAM TAM,Ecole Tam Tam Salleboeuf,0,32,68,29,0,38,30,0
2008/2009,SALLES,CAISSE DES ECOLES DE SALLES,Ecole C.D.E Salles,48,32,32,14,0,8,15,9
2008/2009,SAUCATS,COMMUNE DE SAUCATS,Ecole Saucats,0,27,32,11,150,21,7,4
2008/2009,SAUVETERRE-DE-GUYENNE,COMMUNE DE SAUVETERRE DE GUYENNE,Ecole Sauveterre de Guyenne,28,35,22,11,0,10,4,8
2008/2009,SOULAC-SUR-MER,COMMUNE DE SOULAC SUR MER,Ecole Soulac sur Mer,16,31,22,10,250,7,7,8
2008/2009,TABANAC,CDC DU VALLON D ARTOLIE,Ecole CDC Artolie Tabanac,51,32,21,4,0,7,6,8
2008/2009,TARGON,COMMUNE DE TARGON,Ecole Targon,18,9,25,9,150,7,10,8
2008/2009,TEUILLAC,COMMUNE DE TEUILLAC,Ecole Teuillac,0,25,18,10,40,7,11,0
2008/2009,TOULENNE,COMMUNE DE TOULENNE,Ecole Toulenne,0,35,45,21,0,13,16,16
2008/2009,TRESSES,OFFICE SOCIO CULTUREL ANIMATION,Ecole O.S.C Tresses,102,32,30,13,0,9,13,8
2008/2009,VERAC,CDC DU FRONSADAIS,Ecole CDC Fronsac Vérac,18,29,12,6,30,0,8,4
2008/2009,VERDELAIS,CENTRE DE VACANCES ET DE LOISIRS VERDELAISIEN,Ecole C.V.L.V St Maixant,0,33,48,20,0,24,17,7
2008/2009,VERDELAIS,CENTRE DE VACANCES ET DE LOISIRS VERDELAISIEN,Ecole C.V.L.V St Macaire,15,33,28,12,0,13,9,6
2008/2009,VERTHEUIL,CDC DU CENTRE MEDOC,Ecole CDC Centre Médoc Vertheuil,26,26,15,4,0,3,6,6
2008/2009,VILLENAVE-D'ORNON,COMMUNE DE VILLENAVE D'ORNON,Ecole Villenave d'ornon,85,35,90,29,100,36,36,18
2008/2009,VILLENEUVE,SIRP VILLENEUVE ST CIERS CANESSE,Ecole St Ciers de Canesse SIRP,15,30,20,7,50,1,12,7
2009/2010,ABZAC,COMMUNE D'ABZAC,Abzac,13,30,60,26,150,23,13,24
2009/2010,AMBARES-ET-LAGRAVE,ASSOCIATION SPORTIVE AMBARESIENNE,AS Ambares,60,34,93,41,1500,54,29,10
2009/2010,ANDERNOS-LES-BAINS,COMMUNE D'ANDERNOS LES BAINS,ANDERNOS J Ferry,23,24,21,4,0,8,8,5
2009/2010,ANDERNOS-LES-BAINS,COMMUNE D'ANDERNOS LES BAINS,ANDERNOS Betey,25,24,25,3,0,3,7,16
2009/2010,ANDERNOS-LES-BAINS,COMMUNE D'ANDERNOS LES BAINS,ANDERNOS Capsus,25,24,35,11,0,7,8,18
2009/2010,ARES,COMMUNE D'ARES,ARES,15,32,103,45,0,49,37,17
2009/2010,ARTIGUES-PRES-BORDEAUX,COMMUNE D'ARTIGUES PRES BORDEAUX,ARTIGUES PRES BORDEAUX,0,29,18,7,500,10,5,3
2009/2010,ASQUES,CDC DU FRONSADAIS,ASQUES,18,31,20,6,0,0,5,15
2009/2010,AUBIE-ET-ESPESSAS,COMMUNE D'AUBIE ET ESPESSAS,AUBIE ET ESPESSAS,15,32,49,23,100,14,19,16
2009/2010,AUDENGE,COMMUNE D'AUDENGE,AUDENGE,20,25,54,21,500,27,16,11
2009/2010,AVENSAN,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Avensan,30,32,25,9,0,10,5,10
2009/2010,BARIE,BARIE CASTETS BASKET CLUB,BARIE CASTETS BASKET CLUB,10,31,23,9,50,6,9,8
2009/2010,BASSENS,COMMUNE DE BASSENS,BASSENS,45,33,80,28,0,40,20,20
2009/2010,BAZAS,COMMUNE DE BAZAS,BAZAS,7,29,68,30,0,24,21,23
2009/2010,BEAUTIRAN,SI DES CENTRES D'ACCUEIL ET DE LOISIRS,SICAL Beautiran,0,31,21,10,30,15,6,0
2009/2010,BEGLES,CLUB ATHLETIQUE BEGLAIS,CA BEGLAIS,112,31,54,11,0,42,12,0
2009/2010,BEYCHAC-ET-CAILLAU,ASSOCIATION POUR LOISIRS ENFANTS ET JEUNES,ALEJ BEYCHAC,45,35,40,10,500,15,6,9
2009/2010,BIGANOS,COMMUNE DE BIGANOS,BIGANOS,35,30,40,15,0,23,10,7
2009/2010,BLANQUEFORT,COMMUNE DE BLANQUEFORT,BLANQUEFORT Renney,32,29,42,11,0,18,13,11
2009/2010,BLANQUEFORT,ESB OMNISPORT,E.S Blanquefort,65,30,44,13,0,33,5,6
2009/2010,BLANQUEFORT,COMMUNE DE BLANQUEFORT,BLANQUEFORT Caychac,32,28,43,26,0,21,13,9
2009/2010,BLANQUEFORT,COMMUNE DE BLANQUEFORT,BLANQUEFORT Saturne,32,29,35,4,0,13,11,11
2009/2010,BLAYE,COMMUNE DE BLAYE,BLAYE Vallaeys,0,28,22,11,50,3,5,14
2009/2010,BLAYE,COMMUNE DE BLAYE,BLAYE Malbeteau,0,30,17,11,50,4,5,8
2009/2010,BONZAC,COMMUNE DE BONZAC,BONZAC,30,28,12,9,30,0,0,12
2009/2010,BORDEAUX,STADE BORDELAIS,SBUC,100,27,17,7,0,5,5,7
2009/2010,BORDEAUX,GIRONDINS DE BORDEAUX HAND BALL CLUB,GIRONDINS BX HANDBALL,35,34,84,32,0,23,41,18
2009/2010,BORDEAUX,UNION SPORTIVE LES CHARTRONS,US Chartrons,30,35,83,37,0,35,21,27
2009/2010,BORDEAUX,COQS ROUGES,Coqs rouges,140,35,10,2,0,2,5,3
2009/2010,BORDEAUX,UNION SAINT JEAN,Ecole Union St Jean,75,35,35,13,200,10,21,4
2009/2010,BORDEAUX,CLUB PYRENEES AQUITAINE,CPA TAUZIN,80,31,14,3,200,0,14,0
2009/2010,BORDEAUX,LES JEUNES DE SAINT AUGUSTIN,JSA,80,33,128,41,0,48,42,38
2009/2010,BORDEAUX,UNION SAINT BRUNO,UNION ST BRUNO,160,32,24,6,100,14,6,4
2009/2010,BORDEAUX,ASPTT BORDEAUX,ASPPT Bordeaux,200,34,69,30,0,43,14,12
2009/2010,BOULIAC,COMMUNE DE BOULIAC,BOULIAC,60,31,40,6,300,14,16,10
2009/2010,BRACH,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Brach,30,32,5,3,0,5,0,0
2009/2010,BRANNE,COMMUNE DE BRANNE,BRANNE,20,33,41,22,250,4,23,14
2009/2010,BRUGES,COMMUNE DE BRUGES,Laurencin,45,32,16,7,0,16,0,0
2009/2010,BRUGES,COMMUNE DE BRUGES,BRUGES C Claudel,45,32,25,7,0,0,8,17
2009/2010,BRUGES,COMMUNE DE BRUGES,La Marianne,45,32,32,15,0,13,5,14
2009/2010,BRUGES,COMMUNE DE BRUGES,Prevert,45,32,62,22,0,31,12,19
2009/2010,CADAUJAC,CCAS DE CADAUJAC,CCAS CADAUJAC,0,32,40,15,0,0,15,25
2009/2010,CAMARSAC,FRIMOUSSE DES COTEAUX,Camarsac Asso Frimousse,0,32,28,9,0,15,13,0
2009/2010,CANEJAN,COMMUNE DE CANEJAN,CANEJAN,0,30,52,27,0,10,14,28
2009/2010,CAPIAN,CDC DU VALLON D ARTOLIE,CAPIAN,51,28,14,7,0,4,7,3
2009/2010,CARBON-BLANC,COMMUNE DE CARBON BLANC,CARBON BLANC Pasteur,36,31,48,28,500,0,32,16
2009/2010,CARBON-BLANC,COMMUNE DE CARBON BLANC,CARBON BLANC Barbou,36,30,48,21,500,48,0,0
2009/2010,CARCANS,COMMUNE DE CARCANS,CARCANS,0,32,56,18,0,14,30,12
2009/2010,CARIGNAN-DE-BORDEAUX,CLUB ATHLETIQUE CARIGNANAIS OMNISPORT,CA CARIGNANAIS,70,34,51,35,0,21,23,7
2009/2010,CARTELEGUE,COMMUNE DE CARTELEGUE,CARTELEGUE,0,29,15,5,35,0,6,9
2009/2010,CASTELNAU-DE-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Castelnau,30,32,14,4,0,5,4,5
2009/2010,CASTILLON-LA-BATAILLE,AMICALE LAIQUE CASTILLONAISE,AMICALE LAIQUE CASTILLON,85,31,64,24,300,32,26,6
2009/2010,CASTRES-GIRONDE,SI DES CENTRES D'ACCUEIL ET DE LOISIRS,SICAL Castres,0,31,21,10,300,15,6,0
2009/2010,CAUDROT,COMMUNE DE CAUDROT,CAUDROT,0,33,31,15,0,0,15,16
2009/2010,CAVIGNAC,COMMUNE DE CAVIGNAC,CAVIGNAC,15,24,42,20,60,0,22,20
2009/2010,CENON,OFFICE MINICIPAL DES SPORTS DE CENON,OMS CENON,0,30,52,23,2000,31,21,0
2009/2010,CESTAS,SPORT ATHLETIQUE GAZINET CESTAS OMNISPORTS,SAGC CESTAS,50,30,98,44,0,53,36,9
2009/2010,CESTAS,PATRONAGE LAIQUE CAZEMAJOR YSER,Amicale Laïque Cazemajor,48,32,18,1,0,5,5,8
2009/2010,CHAMADELLE,COMMUNE DE CHAMADELLE,CHAMADELLE,0,31,15,7,30,0,3,12
2009/2010,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJC CREON Baron,70,29,14,3,0,2,9,3
2009/2010,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJC CREON Haux,70,0,14,7,0,1,9,4
2009/2010,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJC CREON Sadirac,70,28,13,6,0,1,7,5
2009/2010,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJC CREON La Sauve,0,28,13,0,0,2,10,1
2009/2010,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJC CREON Lignan,70,24,29,9,0,4,14,6
2009/2010,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJC CREON,70,28,18,7,0,3,10,5
2009/2010,CUBZAC-LES-PONTS,COMMUNE DE CUBZAC LES PONTS,CUBZAC LES PONTS,15,27,24,5,50,7,12,5
2009/2010,DONNEZAC,COMMUNE DE DONNEZAC,DONNEZAC,0,27,18,8,40,0,12,6
2009/2010,EYNESSE,CDC DU PAYS FOYEN,CDC Pays Foyen Eynesse,40,28,13,6,0,2,7,4
2009/2010,EYSINES,MAISON DES JEUNES DE LA CULTURE ET DES SPORTS,Ecole Cosec Pinsan,10,21,147,48,1000,46,60,41
2009/2010,FARGUES-SAINT-HILAIRE,UFCV BORDEAUX R CABIROL,Girondesports,0,33,14,3,0,8,4,2
2009/2010,FLAUJAGUES,SIRP DE FLAUJAGUES MOULIETS ET VILLEMARTIN,FLAUJAGUES,0,14,20,2,50,7,11,2
2009/2010,FRONSAC,CDC DU FRONSADAIS,FRONSAC,18,27,12,5,0,0,0,12
2009/2010,GALGON,CDC DU FRONSADAIS,GALGON,18,30,36,7,0,0,10,26
2009/2010,GAURIAGUET,COMMUNE DE GAURIAGUET,GAURIAGUET,0,34,0,0,50,0,0,0
2009/2010,GENERAC,SIRP DE GENERAC SAUGON,SIRP GENERAC SAUGON,0,28,20,9,50,0,13,7
2009/2010,GRADIGNAN,MJC ANIMATION RENCONTRE,MJC MALARTIC,55,33,25,8,0,13,12,0
2009/2010,GRAYAN-ET-L'HOPITAL,COMMUNE DE GRAYAN ET L'HOPITAL,GRAYAN,0,29,20,14,50,4,8,8
2009/2010,GUITRES,COMMUNE DE GUITRES,Guitres,15,31,46,11,0,0,24,22
2009/2010,HOURTIN,UNION SPORTIVE ET CULTURELLE D'HOURTIN,USC HOURTIN,10,32,63,47,150,21,23,19
2009/2010,IZON,COMMUNE D'IZON,IZON,27,30,77,30,0,29,27,21
2009/2010,LA-BREDE,COMMUNE DE LA BREDE,LA BREDE,38,27,36,9,0,12,24,0
2009/2010,LA-REOLE,COMMUNE DE LA REOLE,LA REOLE,0,30,40,8,0,10,12,10
2009/2010,LA-TESTE-DE-BUCH,CCAS DE LA TESTE DU BUCH,CCAS LA TESTE,30,31,16,8,0,0,4,8
2009/2010,LACANAU,COMMUNE DE LACANAU,LACANAU,20,33,123,49,0,28,56,39
2009/2010,LANGOIRAN,CDC DU VALLON D ARTOLIE,LANGOIRAN,51,29,14,4,0,4,5,5
2009/2010,LANSAC,ASSOCIATION ANIMATION ET PROMOTION,LANSAC,10,27,40,18,80,0,15,25
2009/2010,LANTON,COMMUNE DE LANTON,LANTON Ecole Cassy,10,30,34,11,0,9,9,16
2009/2010,LANTON,COMMUNE DE LANTON,LANTON Ecole Blagon,10,30,9,3,0,0,2,7
2009/2010,LARUSCADE,COMMUNE DE LARUSCADE,LARUSCADE,10,30,34,16,50,18,19,15
2009/2010,LATRESNE,CDC PORTES ENTRE DEUX MERS,CAMBLANES,30,30,21,4,0,2,15,4
2009/2010,LATRESNE,CDC PORTES ENTRE DEUX MERS,ST CAPRAIS DE BX,30,31,13,1,0,5,6,2
2009/2010,LATRESNE,CDC PORTES ENTRE DEUX MERS,LA TRESNE,30,29,14,2,0,1,9,4
2009/2010,LATRESNE,CDC PORTES ENTRE DEUX MERS,QUINSAC,30,32,27,12,0,3,18,6
2009/2010,LE-BARP,COMMUNE DU BARP,LE BARP,45,30,46,18,0,24,14,8
2009/2010,LE-BOUSCAT,COMMUNE DU BOUSCAT,Bouscat centre 2,20,25,29,7,250,13,12,4
2009/2010,LE-BOUSCAT,COMMUNE DU BOUSCAT,Bouscat centre 1,20,25,11,1,250,4,6,1
2009/2010,LE-BOUSCAT,COMMUNE DU BOUSCAT,Ecole LE BOUSCAT FELINE,0,23,0,0,0,0,0,0
2009/2010,LE-BOUSCAT,COMMUNE DU BOUSCAT,LE BOUSCAT FELINE,20,25,16,8,0,7,7,2
2009/2010,LE-BOUSCAT,COMMUNE DU BOUSCAT,Jean Jaures,20,25,34,15,250,15,15,4
2009/2010,LE-HAILLAN,ASSOCIATION SPORTIVE DU HAILLAN,ASH Ecole Jeudi 2,70,30,15,1,0,10,5,0
2009/2010,LE-HAILLAN,ASSOCIATION SPORTIVE DU HAILLAN,ASH Ecole 1,70,30,13,7,0,13,0,0
2009/2010,LE-PORGE,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Le Porge,30,32,9,2,0,2,6,1
2009/2010,LE-TEICH,COMMUNE DU TEICH,LE TEICH,25,33,96,43,450,19,52,25
2009/2010,LE-TEMPLE,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Le Temple,30,32,25,10,0,7,10,8
2009/2010,LE-TOURNE,CDC DU VALLON D ARTOLIE,LE TOURNE Mercredi,51,33,12,4,0,4,4,4
2009/2010,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,LEGE Le Phare,0,29,35,13,0,18,10,7
2009/2010,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,Ecole Lège Claouey,0,0,0,0,0,0,0,0
2009/2010,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,LEGE Bourg,0,29,109,48,0,42,51,16
2009/2010,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,LEGE CLAOUEY,0,29,57,21,0,28,15,14
2009/2010,LEOGNAN,COMMUNE DE LEOGNAN,LEOGNAN,0,30,42,18,0,8,17,17
2009/2010,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC COEUR MEDOC Esteuil,20,31,14,3,100,0,9,5
2009/2010,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC COEUR MEDOC Gaillan,0,31,14,4,100,0,6,8
2009/2010,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC COEUR MEDOC M Curie,20,31,26,11,100,0,20,6
2009/2010,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC COEUR MEDOC Begadan,20,29,10,3,100,0,2,8
2009/2010,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC COEUR MEDOC Couqueques,0,29,12,1,200,0,5,7
2009/2010,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC COEUR MEDOC Civrac,20,29,14,8,100,0,12,2
2009/2010,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC COEUR MEDOC Notre Dame,20,28,19,9,100,0,7,12
2009/2010,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC COEUR MEDOC Beaugency,20,29,16,8,100,0,9,7
2009/2010,LIBOURNE,COMMUNE DE LIBOURNE,LIBOURNE,0,32,105,48,0,0,0,0
2009/2010,LISTRAC-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Listrac,30,32,12,7,0,0,12,0
2009/2010,LORMONT,COMMUNE DE LORMONT,Lormont Pagnol,0,0,0,0,0,0,0,0
2009/2010,LORMONT,COMMUNE DE LORMONT,Lormont Camus,0,0,0,0,0,0,0,0
2009/2010,LORMONT,COMMUNE DE LORMONT,LORMONT Curie,0,33,52,21,0,0,22,30
2009/2010,LORMONT,COMMUNE DE LORMONT,Lormont Mercredi,0,0,0,0,0,0,0,0
2009/2010,LORMONT,COMMUNE DE LORMONT,Lormont Curie,0,0,0,0,0,0,0,0
2009/2010,LORMONT,COMMUNE DE LORMONT,LORMONT Mercredi,24,32,60,21,0,0,48,12
2009/2010,LORMONT,COMMUNE DE LORMONT,LORMONT Pagnol,0,33,37,16,0,0,15,22
2009/2010,LORMONT,COMMUNE DE LORMONT,LORMONT Camus,0,33,25,12,0,0,0,25
2009/2010,LORMONT,COMMUNE DE LORMONT,LORMONT Fort,0,33,39,12,0,0,15,24
2009/2010,LORMONT,COMMUNE DE LORMONT,Lormont Fort,0,0,0,0,0,0,0,0
2009/2010,LUDON-MEDOC,COMMUNE DE LUDON MEDOC,Ludon,47,33,60,15,200,18,21,21
2009/2010,LUGON-ET-L'ILE-DU-CARNAY,CDC DU FRONSADAIS,LUGON,0,30,14,9,0,0,0,14
2009/2010,LUSSAC,COMMUNE DE LUSSAC,LUSSAC,0,31,10,6,0,4,6,0
2009/2010,MARCENAIS,COMMUNE DE MARCENAIS,MARCENAIS,0,32,15,7,50,0,8,7
2009/2010,MARCHEPRIME,CLUB DES ECUREUILS,Club des Ecureuils,0,34,44,21,300,14,13,17
2009/2010,MARGUERON,CDC DU PAYS FOYEN,CDC  Pays Foyen Margueron,40,28,12,7,0,1,5,6
2009/2010,MARTIGNAS-SUR-JALLE,ASS SPORTIVE OMNISPORTS DE MARTIGNAS,A.S MARTIGNAS JALLES,115,24,39,12,600,16,8,15
2009/2010,MARTILLAC,COMMUNE DE MARTILLAC,Martillac,0,33,45,20,150,14,16,15
2009/2010,MERIGNAC,GUYENNE HANDISCOLE SPORT,Guyenne Handiscol'sport SAM,90,32,6,2,0,0,4,2
2009/2010,MERIGNAC,AMICALE LAIQUE LA GLACIERE,Amicale Laïque La Glacière,80,31,15,4,0,4,8,3
2009/2010,MERIGNAC,SPORT ATHLETIQUE MERIGNACAIS,SAM MERIGNAC,110,30,160,52,0,72,56,32
2009/2010,MERIGNAC,ARTS ET LOISIRS ARLAC,ARTS ET LOISIRS ARLAC,80,33,27,0,0,11,3,13
2009/2010,MERIGNAC,CL2V MJC CENTRE SOCIAL BORDEAUX CAUDERAN,MJC CL2V,78,35,23,8,50,11,8,4
2009/2010,MOMBRIER,SIRP MOMBRIER ST TROJAN SAMONAC ,SIRP MOMBRIER,0,29,14,5,50,0,9,5
2009/2010,MONGAUZY,COMMUNE DE MONGAUZY,MONGAUZY,20,32,28,13,100,8,9,11
2009/2010,MONTUSSAN,COMMUNE DE MONTUSSAN,MONTUSSAN,52,33,81,42,300,20,26,35
2009/2010,MOULIS-EN-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Moulis,30,32,29,18,0,14,9,6
2009/2010,MOURENS,SIRP DU HAUT BENAUGE ,SIRP Haut Benauge Mourens,26,26,20,7,0,8,4,8
2009/2010,NOAILLAN,CDC DE VILLANDRAUT,CDC VILLANDRAUT,0,27,0,0,50,0,0,0
2009/2010,PAREMPUYRE,COMMUNE DE PAREMPUYRE,PAREMPUYRE,0,34,54,18,0,23,21,10
2009/2010,PAUILLAC,CDC DU CENTRE MEDOC,CDC CENTRE MEDOC Mousset,0,31,39,16,0,11,15,13
2009/2010,PAUILLAC,CDC DU CENTRE MEDOC,CDC CENTRE MEDOC ST Lambert,0,30,18,6,0,8,6,4
2009/2010,PAUILLAC,CDC DU CENTRE MEDOC,CDC CENTRE MEDOC Hauteville,0,30,28,9,0,6,13,9
2009/2010,PELLEGRUE,CDC DU PAYS DE PELLEGRUE,CDC PELLEGRUE,45,30,18,4,0,8,7,3
2009/2010,PESSAC,ASS SPORTIVE CULTURELLE PESSAC ALOUETTE,ASCPA,125,33,24,9,0,8,12,4
2009/2010,PESSAC,STADE PESSACAIS UNION CLUB,SPUC,100,33,21,3,0,17,2,2
2009/2010,PESSAC,GUYENNE HANDISCOLE SPORT,HANDI SPORT BEC,105,34,18,5,0,2,8,5
2009/2010,PESSAC,OFFICE MUNICIPAL DU SPORT PESSAC,OMS Pessac,110,31,21,11,0,19,2,0
2009/2010,PINEUILH,CDC DU PAYS FOYEN,CDC PAYS FOYEN Pineuilh,40,27,23,11,0,4,13,6
2009/2010,PINEUILH,CDC DU PAYS FOYEN,CDC Pays Foyen  port Ste Foy,40,28,7,2,0,1,1,5
2009/2010,PLASSAC,COMMUNE DE PLASSAC,PLASSAC,0,31,12,5,40,0,4,8
2009/2010,PRIGNAC-ET-MARCAMPS,COMMUNE DE PRIGNAC ET MARCAMPS,PRIGNAC MARCAMPS,5,30,30,10,40,0,14,16
2009/2010,PUGNAC,COMMUNE DE PUGNAC,PUGNAC,0,31,45,25,60,6,10,9
2009/2010,QUEYRAC,TENNIS CLUB DE QUEYRAC,T.C QUEYRAC,10,34,29,13,100,9,11,9
2009/2010,RIONS,CDC DU VALLON D ARTOLIE,RIONS,51,29,14,0,0,0,0,0
2009/2010,ROMAGNE,COMMUNE DE ROMAGNE,ROMAGNE Ecole Mercredi,0,33,28,12,0,7,11,10
2009/2010,ROMAGNE,COMMUNE DE ROMAGNE,ROMAGNE Ecole Elémentaire,0,33,38,21,0,19,11,8
2009/2010,SAILLANS,CDC DU FRONSADAIS,SAILLANS,18,29,12,7,0,2,6,4
2009/2010,SAINT-ANDRE-DE-CUBZAC,COMMUNE DE SAINT ANDRE DE CUBZAC,ST ANDRE DE CUBZAC,0,30,48,26,100,24,15,9
2009/2010,SAINT-ANDRE-ET-APPELLES,CDC DU PAYS FOYEN,CDC Pays Foyen Les Appelles,40,28,21,8,0,5,10,6
2009/2010,SAINT-ANTOINE-SUR-L'ISLE,COMMUNE DE SAINT ANTOINE SUR L'ISLE,ST ANTOINE SUR ISLE,0,30,26,11,0,0,11,15
2009/2010,SAINT-AUBIN-DE-MEDOC,COMMUNE DE SAINT AUBIN DE MEDOC,ST AUBIN MEDOC,0,29,24,6,0,10,7,7
2009/2010,SAINT-AVIT-SAINT-NAZAIRE,CDC DU PAYS FOYEN,CDC Pays Foyen St Avit,40,28,7,3,0,0,2,5
2009/2010,SAINT-CHRISTOPHE-DE-DOUBLE,COMMUNE DE SAINT CHRISTOPHE DE DOUBLE,ST CHRISTOPHE DE DOUBLE,0,32,15,7,20,5,5,5
2009/2010,SAINT-ESTEPHE,CDC DU CENTRE MEDOC,CDC CENTRE MEDOC St Estèphe,0,31,17,3,0,4,7,6
2009/2010,SAINT-GENES-DE-FRONSAC,CDC DU FRONSADAIS,ST GENES DE FRONSAC,18,0,12,8,0,0,6,6
2009/2010,SAINT-GERVAIS,COMMUNE DE SAINT GERVAIS,ST GERVAIS,15,34,27,11,50,13,11,3
2009/2010,SAINT-HILAIRE-DE-LA-NOAILLE,COMMUNE DE SAINT HILAIRE LA NOAILLE,ST HILAIRE DE LA NOAILLE,20,31,28,11,100,8,13,7
2009/2010,SAINT-JEAN-D'ILLAC,ASSOCIATION SPORTIVE ILLACAISE,ST JEAN D ILLAC,50,32,40,11,0,16,18,6
2009/2010,SAINT-JULIEN-BEYCHEVELLE,CDC DU CENTRE MEDOC,CDC CENTRE MEDOC St Julien,0,30,19,8,0,6,8,5
2009/2010,SAINT-LAURENT-MEDOC,ADAPEI IME DU MEDOC,APEI IME MEDOC,0,25,6,2,0,0,0,6
2009/2010,SAINT-LAURENT-MEDOC,CDC DU CENTRE MEDOC,CDC CENTRE MEDOC ST Laurent,0,30,21,8,0,5,10,6
2009/2010,SAINT-LAURENT-MEDOC,CDC DU CENTRE MEDOC,CDC CENTRE MEDOC Vertheuil,0,28,14,5,0,2,4,8
2009/2010,SAINT-LAURENT-MEDOC,CDC DU CENTRE MEDOC,CDC CENTRE MEDOC Cissac,0,30,23,10,0,8,9,6
2009/2010,SAINT-LOUBES,COMMUNE DE SAINT LOUBES,ST LOUBES,57,30,108,46,0,52,44,12
2009/2010,SAINT-LOUIS-DE-MONTFERRAND,COMMUNE DE SAINT LOUIS MONTFERRAND,ST LOUIS DE MONTFERRAND,48,33,37,14,0,22,15,0
2009/2010,SAINT-MACAIRE,CENTRE DE VACANCES ET DE LOISIRS VERDELAISIEN,CVLV ST Macaire,0,34,69,31,0,12,41,16
2009/2010,SAINT-MARTIN-DU-BOIS,RPI DU BOIS DE L'ISLE,Ecole RPI du Bois de l Isle,0,0,0,0,0,0,0,0
2009/2010,SAINT-MARTIN-DU-BOIS,COMMUNE DE SAINT MARTIN DU BOIS,RPI ST MARTIN DU BOIS,0,29,24,15,0,0,13,11
2009/2010,SAINT-MEDARD-DE-GUIZIERES,COMMUNE DE SAINT MEDARD GUIZIERES,ST MEDARD DE GUIZIERES,0,34,24,11,100,10,6,8
2009/2010,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,ST MEDARD Montaigne,50,31,64,22,0,31,24,9
2009/2010,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,ST MEDARD La Garenne,50,31,93,38,0,49,31,13
2009/2010,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,ST MEDARD Cérillan,50,31,88,39,0,40,38,10
2009/2010,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,ST MEDARD Magudas,50,31,69,28,0,46,22,1
2009/2010,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,ST MEDARD Gajac,50,30,38,12,0,24,8,6
2009/2010,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,ST MEDARD Corbiac,50,31,75,28,0,37,23,15
2009/2010,SAINT-MEDARD-EN-JALLES,COMMUNE DE SAINT MEDARD EN JALLES,ST MEDARD Hastignan,50,31,80,37,0,34,32,14
2009/2010,SAINT-PEY-DE-CASTETS,COMMUNE DE SAINT PEY DE CASTETS,St Pey de Castets,45,22,17,5,80,2,9,6
2009/2010,SAINT-PIERRE-D'AURILLAC,VACANCES LOISIRS DE ST PIERRE D AURILLAC,AVL PIAN SUR GARONNE,0,30,15,3,0,7,7,1
2009/2010,SAINT-PIERRE-D'AURILLAC,VACANCES LOISIRS DE ST PIERRE D AURILLAC,AVL ST PIERRE D AURILLAC,0,22,19,7,0,4,10,5
2009/2010,SAINT-PIERRE-DE-MONS,ASS COMMUNALE DES PARENTS ELEVES,ACPE St Pierre de Mons,54,19,20,7,0,8,6,6
2009/2010,SAINT-QUENTIN-DE-BARON,COMMUNE DE SAINT QUENTIN DE BARON,ST QUENTIN DE BARON,0,24,62,19,200,18,25,19
