TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE_1,ADRESSE_2,CODE_POSTAL,COMMUNE,TEL__INFORMATION_RESERVATION,SITE_WEB,LABELS_ET_MARQUES,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE,COLUMN13
Terrain de camping classé - tourisme,Non classé,Camping municipal La Citadelle,,,33390,BLAYE,+33 5 57 42 00 20,www.blaye.fr,,,-0.6665182,45.1293486,
Terrain de camping classé - tourisme,2 étoiles,Camping municipal La Citadelle,Rue du Roc,,33710,BOURG,+33 5 57 68 40 04,www.bourg-gironde.net,,,-0.5600774,45.0382478,
Terrain de camping classé - tourisme,Non classé,Camping municipal de Braud-et-Saint-Louis,,,33820,BRAUD-ET-SAINT-LOUIS,+33 5 57 42 60 87,www.mairie-braud.com,,,-0.649479,45.273465,
Terrain de camping classé - tourisme,4 étoiles,Le Village du Lac,Boulevard Jacques Chaban Delmas,,33520,BRUGES,+33 5 57 87 70 60,www.camping-bordeaux.com,,,-0.5920027,44.8957757,
Terrain de camping classé - tourisme,Non classé,Camping Intercommunal des Coteaux de Garonne,Rue du Port,,33410,CADILLAC,+33 5 56 62 72 98,www.cdc-coteauxdegaronne.fr,,,-0.322115,44.634652,
Terrain de camping classé - tourisme,3 étoiles,Cap'Cabane,Route de Lucmau,,33840,CAPTIEUX,,www.capcabane.com,,,-0.2838186,44.3582273,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping La Pignada,1025 route de Villeneuve,,33121,CARCANS,+33 5 56 03 39 54,,,,-1.04006,45.084102,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping La Prairie,225 bis route Ste Hélène de l'Etang,,33121,CARCANS,+33 5 57 17 51 09,www.campinglaprairie-carcans.fr,,,-1.0703086,45.1112097,
Terrain de camping classé - loisirs,2 étoiles,Camping La Chrysalide,46 route du Lac,,33121,CARCANS,+33 5 56 03 47 32,www.campinglachrysalide.fr,Famille Plus,,-1.0648155,45.0771573,
Terrain de camping classé - loisirs,3 étoiles,Camping Les Pins,20 route Barrade,,33121,CARCANS,+33 5 56 03 38 72,www.campinglespins-carcans.com,Famille Plus,,-1.049999,45.084502,
Terrain de camping classé - loisirs,Non classé,Camping Les Résineux,273 route de Berdillon,Couyras,33121,CARCANS,+33 5 56 03 32 02,,,,-1.0000633,45.1041838,
Terrain de camping classé - tourisme,1 étoile,Camping de l'Océan,,,33121,CARCANS,+33 5 56 03 41 44,www.camping-carcans-ocean.com,,Handicap auditif;Handicap mental;Handicap moteur,-1.1846780,45.0848845,
Terrain de camping classé - tourisme,3 étoiles,Camping Le Paradis,32 route de Philibert,,33121,CARCANS,+33 5 56 03 33 57,www.campingleparadis-carcans.com,Famille Plus,,-1.042599,45.072381,
Terrain de camping classé - tourisme,3 étoiles,Camping Les Terrasses du Lac,35 route de Lacanau,,33121,CARCANS,+33 5 56 03 37 12,www.camping-lesterrassesdulac-carcans.com,Famille Plus,,-1.0472202,45.0662465,
Terrain de camping classé - tourisme,Non classé,Camping Cap Océan,2 route du Cap de Ville,,33121,CARCANS,+33 9 53 14 68 44,www.campingcapocean.com,,,-1.0749435,45.0741267,
Terrain de camping classé - tourisme,Non classé,Camping Aire du Lac,Domaine de Bombannes,,33121,CARCANS,+33 5 56 03 95 02,www.vacances-pour-tous.org,,,-1.1407756,45.0904898,
Terrain de camping classé - tourisme,Non classé,Camping Coben Les Pins,Domaine de Bombannes,,33121,CARCANS,+33 5 56 03 95 02,www.vacances-pour-tous.org,Famille Plus,,-1.1470413,45.0945496,
Terrain de camping classé - tourisme,Non classé,Camping de la Dune Bleue,Domaine de Bombannes,,33121,CARCANS,+33 5 57 70 12 12;+33 5 56 70 19 79,www.camping-dunebleue.com,Famille Plus,,-1.1478137,45.0973367,
Terrain de camping classé - tourisme,Non classé,Camping Le Cap de Ville,81 route du Lac,,33121,CARCANS,+33 5 56 03 33 74;+33 5 56 03 35 99,,,,-1.0730981,45.073763,
Terrain de camping classé - tourisme,Non classé,Camping Les Arbousiers,4 route de Touate,,33121,CARCANS,+33 5 56 03 38 93,www.medococean.com/camping-les-arbousiers/carcans/tabid/4575/offreid/9ecff49e-94c8-49b6-9ffb-5a8167ea6e06/camping.aspx,,,-1.0733985,45.0757632,
Terrain de camping classé - loisirs,Non classé,Camping Le Lierre,1 route de Philibert,Le Mayne Pauvre,33121,CARCANS-MAUBUISSON,+33 5 56 03 40 09,,,,-1.0438728,45.0733993,
Terrain de camping classé - tourisme,3 étoiles,Camping de Maubuisson,81 avenue de Maubuisson,,33121,CARCANS-MAUBUISSON,+33 5 56 03 30 12,www.camping-maubuisson.com,Famille Plus,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-1.1400032,45.0665496,
Terrain de camping classé - tourisme,3 étoiles,Camping Les Mimosas,173 route de la Barrade,,33121,CARCANS-MAUBUISSON,+33 5 56 03 39 05,www.les-mimosas-camping.com,Famille Plus,,-1.0703086,45.0833391,
Terrain de camping classé - tourisme,Non classé,Camping municipal La Pelouse,Lieu dit La Pelouse,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 04 22;+33 5 57 84 12 24,www.campingcastillon.com,,,-0.0467,44.8552,
Terrain de camping classé - loisirs,2 étoiles,Camping Cap du Mount,Départementale 112,,33260,CAZAUX,+33 5 56 22 94 79,www.camping-capdumount.fr,,,-1.1598515,44.545325,
Terrain de camping classé - loisirs,2 étoiles,Camping du Lac,74 rue Osmin Dupuy,,33260,CAZAUX,+33 5 56 22 22 33,www.campingdulacdecazaux.fr,,,-1.1608171,44.5315293,
Terrain de camping classé - tourisme,4 étoiles,Camping La Pinèda,Route de Cazaux,Lieu-dit Jaumard,33260,CAZAUX,+33 5 56 22 23 24,www.campinglapinede.net,,,-1.1526203,44.5557997,
Terrain de camping classé - tourisme,3 étoiles,Camping Bel-Air,150 route départementale 671,Lorient-Sadirac,33670,CREON,+33 5 56 23 01 90,www.camping-bel-air.com,,,-0.3462,44.7737,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Lo Qualh,Le Bourg Sud,,33350,FLAUJAGUES,+33 5 57 40 72 23,www.tourisme-castillonpujols.fr/se-loger/campings/camping-lo-qualh/,,,-0.047323,44.84318,
Terrain de camping classé - tourisme,3 étoiles,Camping naturiste Château Guiton,Château Guiton,,33760,FRONTENAC,+33 5 56 23 52 79,www.chateau-guiton.com,,,-0.165,44.7374,
Terrain de camping classé - tourisme,2 étoiles,Camping Beausoleil,371 cours du Général de Gaulle,,33170,GRADIGNAN,+33 5 56 89 17 66,www.camping-gradignan.com,,,-0.62779,44.7553504,
Terrain de camping classé - tourisme,2 étoiles,Camping Les Franquettes,50 rue des Goélands,,33590,GRAYAN-ET-L'HOPITAL,+33 5 56 09 43 61,www.lesfranquettes.com,,,-1.0877859,45.4457404,
Terrain de camping classé - tourisme,2 étoiles,Camping municipal du Gurp,51 route de l'Océan,,33590,GRAYAN-ET-L'HOPITAL,+33 5 56 09 44 53;+33 5 56 09 43 01,www.grayan.fr,,,-1.1453676,45.4350508,
Terrain de camping classé - tourisme,3 étoiles,Camping des Familles,3 chemin de la Lande,,33590,GRAYAN-ET-L'HOPITAL,+33 5 56 09 43 20,www.camping-des-familles.com,,,-1.0605239,45.4170094,
Terrain de camping classé - tourisme,4 étoiles,Euronat,Lieu-dit Dépée,,33590,GRAYAN-ET-L'HOPITAL,+33 5 56 09 33 33;+33 5 56 73 24 51,www.euronat.fr,,,-1.13598,45.41693,
Terrain de camping classé - loisirs,2 étoiles,Camping ATC Armand Dejoie,46 avenue de la Plage,La Hume,33470,GUJAN-MESTRAS,+33 5 56 66 12 24;+33 1 55 26 93 70,www.atc-routesdumonde.com,,,-1.1139560,44.6430763,
Terrain de camping classé - tourisme,2 étoiles,Camping municipal de Verdalle,2 allée de l'Infante,La Hume,33470,GUJAN-MESTRAS,+33 5 56 66 12 62,www.campingdeverdalle.com,,,-1.110917,44.643884,
Terrain de camping classé - tourisme,Non classé,Camping Anas,58 rue Dejean Castaing,,33470,GUJAN-MESTRAS,+33 5 56 66 12 50,www.anas.asso.fr,,,-1.104882,44.631845,
Terrain de camping classé - tourisme,Non classé,Camping Les Airials,Rue de Chantegrue,,33125,HOSTENS,+33 5 56 88 70 29;+33 5 56 88 74 19,www.gironde.fr/jcms/c_5115/le-domaine-d-hostens,,,-0.630899,44.492693,
Parc résidentiel de loisirs,Non classé,Parc résidentiel de loisirs Parc Nature et Océan,Le Pré du Port,Rue de Mauricet,33990,HOURTIN,+33 5 56 73 81 20,www.parc-nature-ocean.com,,,-1.0810375,45.1950727,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping l'Acacia,Route de Carcans,Lieu-dit Sainte-Hélène,33990,HOURTIN,+33 5 56 73 80 80,www.campinglacacia.com,,,-1.0625839,45.1350102,
Terrain de camping classé - loisirs,2 étoiles,Camping Le Littoral,206 Pey de Camin,Route des Lacs,33990,HOURTIN,+33 5 56 09 13 73,www.camping-lelittoral.fr,,,-1.0530567,45.1733849,
Terrain de camping classé - loisirs,3 étoiles,Camping Le Bon Coin,Pey du Camin,Rue des Coudifles,33990,HOURTIN,+33 5 56 09 10 82,www.campingleboncoin.com,Famille Plus,,-1.0461044,45.1830652,
Terrain de camping classé - loisirs,3 étoiles,Camping Les Ecureuils,Route des Lacs,,33990,HOURTIN,+33 5 56 09 10 47,www.campinglesecureuilshourtin.fr,,,-1.0754585,45.2149384,
Terrain de camping classé - loisirs,3 étoiles,Camping La Mariflaude,1 route de Pauillac,,33990,HOURTIN,+33 5 56 09 11 97,www.camping-la-mariflaude.com,,,-1.0393238,45.186211,
Terrain de camping classé - loisirs,4 étoiles,Domaine La Résinière,100 avenue du Lac,,33990,HOURTIN,+33 5 56 09 02 42,www.camping-hourtin.com,,,-1.0793638,45.1811898,
Terrain de camping classé - tourisme,3 étoiles,Camping L'Orée du Bois,Route d'Aquitaine,,33990,HOURTIN,+33 5 56 09 15 88,www.camping-loreedubois.com,,,-1.0518550,45.1703594,
Terrain de camping classé - tourisme,4 étoiles,Camping La Rotonde : le Village Western,Chemin de Bécassine,Le Lac,33990,HOURTIN,+33 5 56 09 10 60,www.village-western.com,Camping Qualité;Qualité Tourisme;Famille Plus,,-1.0749220,45.1796168,
Terrain de camping classé - tourisme,5 étoiles,Camping Airotel Côte d'Argent,134 route de Contaut,Hourtin Plage,33990,HOURTIN,+33 5 56 09 10 25,www.cca33.com,La Clef Verte;Qualité Tourisme,,-1.1017794,45.2110857,
Terrain de camping classé - tourisme,4 étoiles,Camping Les Ourmes,90 avenue du Lac,,33990,HOURTIN-PORT,+33 5 56 09 12 76,www.lesourmes.com,Camping Qualité;Qualité Tourisme;Famille Plus,Handicap moteur,-1.0756731,45.1821275,
Camping à la ferme,Terrain déclaré,Camping Le Médoc aux 4 Vents,31 chemin du Perey,,33590,JAU-DIGNAC-ET-LOIRAC,+33 5 56 09 42 63,www.bienvenue-a-la-ferme.com/gironde/camping-a-la-ferme/ferme-le-medoc-aux-4-vents-2656-62928,Bienvenue à la Ferme,,-0.948412,45.415082,
Camping à la ferme,Terrain déclaré,Camping de la Rivière de Prats,3 le Bourg,,33890,JUILLAC,+33 5 57 40 27 36,http://monsite.wanadoo.fr/campingrural,Bienvenue à la Ferme,,0.0407,44.8095,
Terrain de camping classé - tourisme,Non classé,Camping du Rouergue,Le Rouergue,,33190,LA REOLE,+33 5 56 61 13 55,www.lareole.fr,,,-0.0333023,44.5779354,
Parc résidentiel de loisirs,4 étoiles,Parc résidentiel de loisirs Le Domaine de La Forge,Route de Sanguinet,,33260,LA TESTE-DE-BUCH,+33 5 56 66 07 72,www.domainedelaforge.com,,,-1.1035466,44.604585,
Terrain de camping classé - tourisme,2 étoiles,Camping Les Bonnes Vacances,121 rue André Lesca,,33260,LA TESTE-DE-BUCH,,www.lesbonnesvacances.com,Qualité Tourisme,,-1.1219894,44.6402311,
