CD_DEPOT,LB_DEPOT,TYPE_DEPOT,LB_TYPE_DEPOT,COORD_TEL,COORD_FAX,COORD_MAIL,COORD_SITEWEB,ADR_L1,ADR_L2,ADR_L3,ADR_L4_NUM,ADR_L4_NUMEXT,ADR_L4_VOIE,ADR_L5,ADR_L6_CP,ADR_L6_COMM,INSEE_COMMUNE,CD_CANTON,RESPONSABLE,FL_DESSERVI,FL_INTERNET,NB_POSTEINT,NB_POSTEPUB,NB_MULT,ACCESS_HANDICAPES,H_DEB_MATIN_LUNDI,H_FIN_MATIN_LUNDI,H_DEB_APRM_LUNDI,H_FIN_APRM_LUNDI,H_DEB_MATIN_MARDI,H_FIN_MATIN_MARDI,H_DEB_APRM_MARDI,H_FIN_APRM_MARDI,H_DEB_MATIN_MERCREDI,H_FIN_MATIN_MERCREDI,H_DEB_APRM_MERCREDI,H_FIN_APRM_MERCREDI,H_DEB_MATIN_JEUDI,H_FIN_MATIN_JEUDI,H_DEB_APRM_JEUDI,H_FIN_APRM_JEUDI,H_DEB_MATIN_VENDREDI,H_FIN_MATIN_VENDREDI,H_DEB_APRM_VENDREDI,H_FIN_APRM_VENDREDI,H_DEB_MATIN_SAMEDI,H_FIN_MATIN_SAMEDI,H_DEB_APRM_SAMEDI,H_FIN_APRM_SAMEDI,H_DEB_MATIN_DIMANCHE,H_FIN_MATIN_DIMANCHE,H_DEB_APRM_DIMANCHE,H_FIN_APRM_DIMANCHE
1828,Canéjan,5,,0556893807,05-57-96-66-0,mediatheque@canejan.fr,http://www.mediatheque-canejan.net,BDP Canéjan,,,10,,CHEMIN DE LA HOUSE,,33610,CANÉJAN,33090,59,,Oui,1,4,,0,Accès aux personnes à mobilité réduite,,,,,,, 14h00, 19h00,10h00, 12h00, 12h00, 18h00,,, 14h00, 19h00,,, 14h00, 19h00,10h00, 12h00, 12h00, 18h00,,,,
1744,Saint-Romain-la-Virvée,26,,0557582138,0557582533,mairiestromainlavirvee@wanadoo.fr,,BDP Saint-Romain-la-Virvée,,,,,PLACE DE LA MAIRIE,,33240,SAINT ROMAIN LA VIRVÉE,33470,24,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 14h30, 15h30,,,,,,,,,,,,,,,,,11h00, 12h00,,,,,,
1575,Arcins,19,,0556589390,0557885102,mairie.arcins@wanadoo.fr,,BDP Arcins,,MAIRIE,,B,,,33460,ARCINS,33010,20,BENOIT Dehbia,Oui,0,0,,0,,,,,,,, 16h00, 18h00,,,,,,,,,,, 16h00, 18h00,,,,,,,,
2012,Lormont,32,,0556062630,0556062706,bibliotheque@ville-lormont.fr,http://www.lormont.fr/,BDP Lormont,,,1,,RUE LOUIS BEYDTS,,33310,LORMONT,33249,60,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,Noaillac,0,,0556619494,,mediathequenoaillac@orange.fr,,BDP Noaillac,,,,,HÔTEL DE VILLE,,33190,NOAILLAC,,38,,Non,0,0,,0,,,,,,,,,,,, 15h00, 19h00,,,,,,,,,,,,,,,,
1978,Périssac,20,,0557743103,0557744317,biblio.mdp@orange.fr,,BDP Périssac,,,9,,AVENUE DES ÉCOLES,,33240,PÉRISSAC,33317,24,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,,,,09h00, 12h00,,,,,,,,,,,10h00, 12h00,,,,,,
1498,Balizac,19,,0556253667,0556253784,caki@free.fr,,BDP Balizac,,,,,LE BOURG,,33730,BALIZAC,33026,45,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,10h00, 12h00,,,,,,
1727,Paillet,15,,0556721623,,bibliothequedepaillet@wanadoo.fr,,BDP Paillet,,,,,PLACE DU GÉNÉRAL DE GAULLE,,33550,PAILLET,33311,17,,Oui,1,2,,0,,,, 15h00, 18h30,,,,,,, 15h00, 17h00,,,,,,,,,,, 15h00, 17h00,,,,
1790,Saint-Paul,20,,0557420801,0557428455,bibliotheque.saintpaul@orange.fr,,BDP Saint-Paul,,,,,LE BOURG,,33390,SAINT PAUL,33458,7,,Oui,1,1,,0,,,, 15h30, 17h30,,,,,,,,,,, 15h30, 17h30,,,,,11h00, 12h00,,,,,,
1372,Rauzan,21,,0557841304,0557840071,mairie.rauzan@wanadoo.fr,,BDP Rauzan,,MAIRIE,,B,,,33420,RAUZAN,33350,37,LE NAOUR Danièle,Oui,0,0,,0,Accés aux personnes à mobilité réduite,,,,,,,,,10h30, 11h30,,,,,,,,,,,10h30, 11h30,,,,,,
1742,Beautiran,16,,0556675483,0556672633,bibliotheque@mairie-beautiran.fr,,BDP Beautiran,,,12,,PLACE DE VERDUN,,33640,BEAUTIRAN,33037,27,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 17h00, 19h30,,,,,,, 16h00, 18h00,,, 17h00, 19h00,,,,,,,,,,,,
1728,Audenge,11,,0556269856,05-56-03-81.5,mediatheque@mairie-audenge.fr,http://www.mairie-audenge.fr,BDP Audenge,,,,,MÉDIATHÈQUE,,33980,AUDENGE,33019,2,,Oui,1,0,,0,Accès aux personnes à mobilité réduite,,,,,09h30, 12h30, 16h00, 18h00,09h30, 12h30, 14h30, 18h00,,,,,,, 16h00, 18h00,09h30, 12h30,,,,,,
1159,Bernos-Beaulac,21,,0556254142,0556254644,mairie.bernos.beaulac@wanadoo.fr,,BDP Bernos-Beaulac,,,27,,ROUTE DE BERNOS,,33430,BERNOS BEAULAC,33046,4,,Oui,0,0,,0,,,,,,,, 16h00, 18h00,,, 16h00, 18h00,,,,,,,,,,,,,,,,
2009,Talence,32,,0556847890,0556847889,mediatheque@talence.fr,http://www.talence.fr/,BDP Talence,,,1,,ALLÉE PEIXOTTO,,33400,TALENCE,33522,56,,Non,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Cudos,20,,0556254408,0556254739,E.cudos@ac-bordeaux.fr,,BDP Cudos,,,,,LE BOURG,,33430,CUDOS,33144,4,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,, 13h30, 16h30,10h30, 12h00,,,,, 15h00, 16h30,,, 16h30, 18h00,,,,,,,,
1377,Saint-Magne-de-Castillon,21,,0557400087,0557404073,chateaublanzac@cegetel.net,,BDP Saint-Magne-de-Castillon,,MAIRIE,81,,AVENUE DU GÉNÉRAL DE GAULLE,,33350,SAINT MAGNE DE CASTILLON,33437,21,DEPONS Véronique,Oui,0,0,,0,,,,,,,,,,,, 14h00, 18h00,,,,,,,,,,,,,,,,
1753,Castres-Gironde,16,,0556674787,0556670829,bibliotheque.castres@free.fr,,BDP Castres-Gironde,,MAIRIE,1,,PLACE DE LA MAIRIE,,33640,CASTRES GIRONDE,33109,27,JEANTET Catherine,Oui,1,0,,0,,,,,,,,,,10h00, 12h00, 17h00, 19h00,10h00, 12h00,,,,,,,10h00, 12h00,,,,,,
2016,Libourne,32,,0557553350,0557555703,mediatheque@mairie-libourne.fr,ville-libourne.fr,BDP Libourne,,,,,PLACE DES RÉCOLLETS,,33500,LIBOURNE,33243,30,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Lussac,15,,0557746023,0557745390,lussac-mairie@wanadoo.fr,,BDP Lussac,,,3,,PLACE DE LA RÉPUBLIQUE,,33570,LUSSAC,33261,31,,Oui,0,0,,0,,,,,,,, 13h30, 18h00,,,,,09h15, 12h00, 13h30, 16h45,09h15, 12h00, 13h30, 16h45,10h00, 12h30,,,,,,
1777,Gaillan-en-Médoc,15,,0556410668,0556411021,pointlecture.gaillan@orange.fr,,BDP Gaillan-en-Médoc,,,31,,RUE DU BOURG,,33340,GAILLAN EN MÉDOC,33177,29,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Camblanes-et-Meynac,10,,0557971693,0556206306,alivreouvert@club-internet.fr,,BDP Camblanes-et-Meynac,,MAIRIE,,,CHEMIN DES ÉCOLIERS,,33360,CAMBLANES ET MEYNAC,33085,23,FERION LE BOULANGER Marie-Laure,Oui,1,1,,0,Accès aux personnes à mobilité réduite,10h00, 12h00,,,12h00, 13h30, 16h30, 18h00,,, 14h30, 17h30,,,,,,, 16h30, 18h00,10h00, 12h00,,,,,,
1499,Guillos,25,,0557985214,,marion.roche@cc-podensac.fr,http://bibliblog.free.fr,BDP Guillos,,,,,HÔTEL DE VILLE,,33720,GUILLOS,33197,36,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Gornac,13,,0556619615,0556619680,bibliotheque@gornac.fr,gornac.fr,BDP Gornac,,,1,,PLACE DE LA MAIRIE,,33540,GORNAC,33189,47,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 15h00, 17h00,,,,,,, 17h00, 19h00,,,,,,,,
1182,Saint-André-du-Bois,19,,0556769785,0556764308,mairie.saint.andredubois@wanadoo.fr,,BDP Saint-André-du-Bois,,MAIRIE,,,SALLE POLYVALENTE,,33490,SAINT ANDRÉ DU BOIS,33367,43,ALLUE Christine,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,, 16h00, 18h00,,,,,,,,
1688,Gauriac,20,,0557648008,0557648913,mairie.gauriac@wanadoo.fr,,BDP Gauriac,,,,,HÔTEL DE VILLE,,33710,GAURIAC,33182,15,,Oui,1,0,,0,,,,,,,, 16h30, 19h30,,,,,,,,,,,,,,,,,,,,
1715,Saint-Caprais-de-Bordeaux,10,,0557979417,0557979401,bibstcaprais@yahoo.fr,,BDP Saint-Caprais-de-Bordeaux,,,4,,AVENUE DE MERCADE,,33880,SAINT CAPRAIS DE BORDEAUX,33381,23,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 16h30, 18h30,,, 16h30, 18h30,09h30, 12h00,,,,, 16h30, 18h30,,, 16h30, 18h30,,,,,,,,
3333,Saint-Martin-Lacaussade,21,,,0557422122,mairie.st.martin.lacaussade@wanadoo.fr,,BDP Saint-Martin-Lacaussade,,MAIRIE,,B,,,33390,SAINT MARTIN LACAUSSADE,33441,7,,Oui,0,1,,0,,,, 15h00, 17h30,,,,,,, 15h00, 17h30,,,,,,,,,,,,,,,,
1653,Le Verdon-sur-Mer,15,,0556096321,0556096475,contact@ville-verdon.org,,BDP Le Verdon-sur-Mer,,,,,CENTRE CULTUREL JEAN PARÈS,,33123,LE VERDON SUR MER,33544,46,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Saint-Seurin-de-Bourg,19,,0557684474,0557684474,mairie.stseurindebourg@wanadoo.fr,,BDP Saint-Seurin-de-Bourg,,,,,MARCHAIS,,33710,SAINT SEURIN DE BOURG,33475,15,,Oui,0,0,,0,,,,,,,,,,,, 17h15, 18h30,,,,,,,,,,,,,,,,
1643,Saint-Christophe-des-Bardes,14,,0557243832,0557246892,bibliotheques@juridiction-saint-emilion.org,,BDP Saint-Christophe-des-Bardes,,,8,,LE BOURG,,33330,SAINT CHRISTOPHE DES BARDES,33384,31,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Pujols-sur-Ciron,26,,0556766514,0556766099,marion.roche@cc-podensac.fr,,BDP Pujols-sur-Ciron,,CDC PODENSAC-PRIMEVER ,12,,RUE DU MARÉCHAL LECLERC DE HAUTECLOCQUE,,33720,PODENSAC,33343,36,ROCHE Marion,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Tabanac,21,,,,bibliotheque-tabanac@voila.fr,,BDP Tabanac,,,,,ECOLE,,33550,TABANAC,33518,23,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 17h00, 18h30,,,,,,, 16h30, 18h30,10h00, 12h00,,,,,,
1179,Podensac,16,,0556271754,0556270531,marion.roche@cc-podensac.fr,,BDP Podensac,,CDC PODENSAC-PRIMEVER ,12,,RUE DU MARÉCHAL LECLERC DE HAUTECLOCQUE,,33720,PODENSAC,33327,36,BAUDIS Claude,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 15h00, 18h00,,,,,,, 16h00, 19h00,,,,,11h00, 12h30,,
1069,Le Barp,5,,0556886390,0556882590,mediatheque.lebarp@orange.fr,http://www.ville-le-barp.fr/contenu-des-pages/10.html,BDP Le Barp,,,,,LE CHALET,,33114,LE BARP,33029,5,,Oui,1,5,,5,Accès aux personnes à mobilité réduite,,,,,,,,,09h30, 12h30, 14h00, 18h00,,, 16h00, 19h00,,, 16h00, 19h00,10h00, 12h00, 12h00, 16h00,,,,
2022,Macau,0,,0557889475,,agnes.cornichon@ville-macau.fr,,BDP Macau,,MAIRIE,1,,PLACE DE LA RÉPUBLIQUE,,33460,MACAU,33262,6,TALOU Valérie,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Budos,20,,0556625159,0556624331,marion.roche@cc-podensac.fr,,BDP Budos,,CDC PODENSAC-PRIMEVER ,12,,RUE DU MARÉCHAL LECLERC DE HAUTECLOCQUE,,33720,PODENSAC,33076,36,REDOULEZ Nadine,Oui,0,0,,0,,,, 17h00, 18h00,,,,,,,,,,,,,,,,,10h00, 12h00,,,,,,
1708,Cénac,9,,0557971474,0557971473,bibliocenac.33@wanadoo.fr,,BDP Cénac,,,2,B,AVENUE DE LA RÉPUBLIQUE,,33360,CÉNAC,33118,23,,Oui,1,0,,0,Accès aux personnes à mobilité réduite,,,,,,, 16h00, 18h00,,, 16h30, 18h30,,,,,,, 16h00, 18h00,10h30, 12h30,,,,,,
1500,Saint-Michel-de-Fronsac,26,,0557249823,0557249824,mairie.st-michel-fronsac@wanadoo.fr,,BDP Saint-Michel-de-Fronsac,,MAIRIE,,,LE BOURG,,33126,SAINT MICHEL DE FRONSAC,33451,24,Besson Jacques,Oui,0,0,,0,,,, 13h30, 15h00,,,,,,,,,,,,,,,,,,,,,,,,
1713,Quinsac,15,,0556208266,,bibliothequequinsac33@gmail.com,,BDP Quinsac,,,,,RUE ANDRÉ BERRY,,33360,QUINSAC,33349,23,,Oui,0,0,,0,,,,,,,, 16h30, 18h30,10h00, 12h00,,,,,,,,,,,10h00, 12h00,,,,,,
1021,Salles,17,,0556887235,0556884395,bibliotheque.salles@orange.fr,,BDP Salles,,,34,,RUE DE LA HAUTE LANDE,,33770,SALLES,33498,5,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Reignac,9,,0557324022,0557324991,biblidereignac@laposte.net,,BDP Reignac,,MAIRIE,,B,,,33860,REIGNAC,33351,40,LE MOAL Marina,Oui,1,0,,0,Accès aux personnes à mobilité réduite,,, 14h00, 16h00,,,,,09h00, 12h00,,,,,,,,,,,09h00, 12h00,,,,,,
1181,Roaillan,21,,0556761446,0556761795,bibliotheque-roaillan@cc-paysdelangon.fr,http://www.bibliotheques-paysdelangon.net,BDP Roaillan,,,,,LE BOURG,,33210,ROAILLAN,33357,28,,Oui,0,0,,0,,,, 17h30, 19h00,,,,,10h00, 11h30,,,,,,,,,,,,,,,,,,
1365,Flaujagues,26,,0557400833,0557402935,mairie.flaujagues@orange.fr,,BDP Flaujagues,,,,,LE BOURG SUD,,33350,FLAUJAGUES,33168,37,,Oui,1,0,,0,,,,,,,,,,,,,,,,,,,,,,09h00, 12h00,,,,,,
1531,Puisseguin,14,,0557552220,0557745731,mairie.puisseguin@wanadoo.fr,www.mairie-puisseguin.fr,BDP Puisseguin,,,8,,RUE DES ECOLES,,33570,PUISSEGUIN,33342,31,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Fronsac,21,,0557511320,0557516035,mairie.fronsac@wanadoo.fr,,BDP Fronsac,,MAIRIE,8,,AVENUE DU GÉNÉRAL DE GAULLE,,33126,FRONSAC,33174,24,FLECHARD,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 14h30, 17h00,,,,,,, 16h30, 18h30,,,,,,,,
1376,Saint-Pey-de-Castets,20,,0557405216,0557405216,sirp.saint-pey-de-castets@wanadoo.fr,,BDP Saint-Pey-de-Castets,,,3,,AVENUE DE LA MAIRIE,,33350,SAINT PEY DE CASTETS,33460,37,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Monségur,9,,0556719062,,bibliotheque.monsegur@orange.fr,,BDP Monségur,,,10,,PLACE DES TILLEULS,,33580,MONSÉGUR,33289,32,,Oui,1,0,,0,,,,,,,,,,10h00, 12h00, 14h00, 19h00,,,,,09h30, 13h00, 16h00, 19h00,09h30, 13h00,,,,,,
1194,Sauveterre-de-Guyenne,9,,0556718835,0556715939,bmsauveterre@orange.fr,http://www.sauveterre-de-guyenne.eu/Bibliotheque-Municipale/,BDP Sauveterre-de-Guyenne,,MAIRIE,28,,PLACE DE LA RÉPUBLIQUE,,33540,SAUVETERRE DE GUYENNE,33506,47,Mary Sophie,Oui,0,0,,0,,,,,,10h00, 12h00,,,,, 14h00, 19h00,,,,,,,,,10h00, 12h00, 15h00, 17h00,,,,
1980,Croignon,13,,0556230686,,pointlecture.croignon@orange.fr,http://www.croignon.fr/,BDP Croignon,,MAIRIE,2,,RUE MAIRIE,,33740,CROIGNON,33141,23,,Oui,1,0,,0,accès aux personnes à mobilité réduite,,,,,,,,,10h00, 12h00, 14h00, 18h00,,,,,,,,,10h00, 12h00,,,,,,
1155,Auros,20,,0556654009,0556654459,contact@bibliotheque-auros.com,,BDP Auros,,,,,LE BOURG,,33124,AUROS,33021,3,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,, 16h00, 18h00,,,,
1476,Grézillac,26,,0557845210,0557846751,mairie.grezillac33@wanadoo.fr,,BDP Grézillac,,MAIRIE,,B,,,33420,GRÉZILLAC,33194,16,PERRET Isabelle,Non,0,0,,0,,,,,,,,,,,,,,,, 13h30, 15h30,,,,,,,,,,,,
1759,Labarde,26,,0557886032,0557887257,mairie-labarde@wanadoo.fr,,BDP Labarde,,MAIRIE,1,,CHEMIN DE LA LAURINCE,,33460,LABARDE,33211,20,BARGIS Marie,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,, 17h00, 19h00,,,,,,,,,,,,
1687,Laruscade,20,,0557685792,0557681484,biblio@mairie-laruscade.fr,,BDP Laruscade,,,106,,LE BOURG,,33620,LARUSCADE,33233,44,,Oui,0,1,,0,Accès aux personnes à mobilité réduite,,,,,10h00, 12h00,,,,, 14h00, 17h00,,,,,,,,,10h00, 12h00,,,,,,
1577,Margaux,21,,0557888618,0557887626,bibliothequemargaux@orange.fr,,BDP Margaux,,,,,RUE DE LA TREMOILLE,,33460,MARGAUX,33268,20,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 14h30, 16h30,,,,,,,,,09h30, 11h30,,,,,,
1681,Coutras,18,,0557490149,0557560904,mediatheque@mairie-coutras.fr,,BDP Coutras,,,15,,RUE SAINT JEAN,,33230,COUTRAS,33138,22,,Oui,1,1,,1,Accès aux personnes à mobilité réduite,,,,,,, 14h00, 18h00,09h00, 12h00, 14h00, 18h00,,, 14h00, 18h00,09h00, 12h00,,,09h00, 12h00, 14h00, 17h00,,,,
1195,Savignac,20,,0556654086,,savignac3@wanadoo.fr,,BDP Savignac,,,,,BOURG,,33124,SAVIGNAC,33508,3,,Oui,0,0,,0,Accès aux personnes à mobiblité réduite,,,,,,,,,,,,,,,,,,,,,,, 18h00, 19h00,,,,
1172,Fargues,21,,0556634270,,bibliotheque-fargues@cc-paysdelangon.fr,http://www.bibliotheques-paysdelangon.net,BDP Fargues,,,7,,ROUTE DES ÉCOLES,,33210,FARGUES,33164,28,,Oui,1,0,,0,,,,,,,,,,,, 15h00, 17h00,,,,,,,,,,, 15h00, 17h00,,,,
666,Le Tourne,14,,,,mascot-letourne@hotmail.fr,,BDP Le Tourne,,,2,,CHEMIN DE PEYROUTIE,,33550,LE TOURNE,33534,23,,Oui,0,0,,0,,,,,,,, 16h30, 18h30,10h00, 12h00,,,,,,,,,,,10h00, 12h00,,,,,,
1763,Isle-Saint-Georges,20,,0556726504,0556727507,bibliotheque.isg@orange.fr,http://www.islesaintgeorges.com/index.php?rub=biblio,BDP Isle-Saint-Georges,,,14,,PLACE DE L'ÉGLISE,,33640,ISLE SAINT GEORGES,33206,27,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 17h00, 18h30,,,,,,, 17h00, 19h00,,,,,,,,,,,,,,,,
1467,Saint-Médard-de-Guizières,16,,0557564545,0557697619,s.mairie@saintmedarddeguizieres.fr,,BDP Saint-Médard-de-Guizières,,,,,IMPASSE DU CHÂTEAU D'EAU,,33230,SAINT MÉDARD DE GUIZIÈRES,33447,22,,Oui,0,0,,0,,,,,,,, 15h00, 18h30,,, 15h00, 18h00,,, 15h00, 18h30,,,,,,,,,,,,
1468,Saint-Seurin-sur-l'Isle,4,,0557496193,0557496345,mediatheque@stseurinsurlisle.com,http://www.mediatheque.stseurinsurlisle.com,BDP Saint-Seurin-sur-l'Isle,,,4,,AVENUE GEORGES CLÉMENCEAU,,33660,SAINT SEURIN SUR L ISLE,33478,31,,Oui,1,6,,6,,,,,,,, 14h00, 18h00,10h00, 12h30, 14h00, 19h00,,,,,,, 14h00, 18h00,10h00, 12h30, 14h00, 18h00,,,,
1925,Pomerol,20,,0557511294,0557518863,mairie.pomerol@wanadoo.fr,,BDP Pomerol,,MAIRIE,,B,,,33500,POMEROL,33328,30,DESMARTY Claude,Non,0,0,,0,Accès aux personnes à mobilité réduite,,, 15h30, 18h30,,,,,,,,,,,,,,, 15h30, 18h30,,,,,,,,
1757,Créon,10,,0557345445,0557345446,bibliotheque.creon@orange.fr,,BDP Créon,,,1,,RUE MONTESQUIEU,,33670,CRÉON,33140,23,,Oui,1,0,,0,,,,,,,, 16h00, 18h30,10h00, 12h00, 14h30, 18h30,,,,,,, 16h00, 18h30,10h00, 12h00,,,10h00, 12h00,,
1371,Pujols,20,,0557405816,0557407019,pujols.mairie@wanadoo.fr,,BDP Pujols,,,,,CHÂTEAU,,33350,PUJOLS SUR DORDOGNE,33344,37,,Oui,0,0,,0,,,,,,,,,,,, 14h30, 16h00,,,,,,,,,11h00, 12h00,,,,,,
1662,Saint-Seurin-de-Cadourne,20,,0556593110,0556597255,mairiesaintseurincadourne@wanadoo.fr,,BDP Saint-Seurin-de-Cadourne,,MAIRIE,,B,,,33180,SAINT SEURIN DE CADOURNE,33476,33,VERGEZ Béatrice,Oui,0,0,,0,,,,,,,,,,,, 14h00, 17h30,,,,,,,,,,,,,,,,
1480,Pellegrue,10,,0556618951,0556613977,mediatheque.pellegrue@wanadoo.fr,,BDP Pellegrue,,,10,,PLACE DU 8 MAI 1945,,33790,PELLEGRUE,33316,34,,Oui,1,2,,0,,,,,,09h00, 12h30, 14h00, 18h00,09h00, 12h30, 14h00, 18h30,,,,,,, 14h00, 18h00,09h00, 12h00,,,,,,
1834,Artigues-près-Bordeaux,5,,0556338690,0556338699,gabrielamistral@mediatheque-artigues.com,http://www.mediatheque-artigues.com,BDP Artigues-près-Bordeaux,,,,,ALLÉE BÉTAILHE,,33370,ARTIGUES PRÈS BORDEAUX,33013,55,,Oui,1,7,,7,Accès aux personnes à mobilité réduite,,,,,,, 15h00, 19h00,10h00, 12h00, 14h00, 18h00,,,,,,, 14h00, 18h00,10h00, 12h00, 12h00, 17h00,,,,
1660,Targon,9,,0556236937,,bibliotheque.targon@wanadoo.fr,,BDP Targon,,,10,,PLACE DE L'ÉGLISE,,33760,TARGON,33523,48,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,10h00, 12h00, 15h00, 16h30,,, 14h30, 16h30,,, 14h30, 18h00,,,,,,, 14h30, 16h30,09h30, 12h30,,,,,,
1648,Carcans,15,,0556039036,,bibliotheque_carcans@orange.fr,,BDP Carcans,,,21,,ROUTE DE BORDEAUX,,33121,CARCANS,33097,42,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,11h00, 12h00,,,11h00, 12h00,,,,, 17h00, 18h00,,, 16h30, 17h30,,,,,11h00, 12h00,,,,,,
1797,Saint-Aubin-de-Blaye,14,,0557326203,0557327825,st-aubindeblaye@wanadoo.fr,,BDP Saint-Aubin-de-Blaye,,MAIRIE,,B,,,33820,SAINT AUBIN DE BLAYE,33374,40,BOUDAUD Françoise,Oui,1,5,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Saint-Sulpice-de-Faleyrens,21,,0681100682,0557246374,emmanuelle.fontaine5@wanadoo.fr,,BDP Saint-Sulpice-de-Faleyrens,,,10,,AVENUE DU GÉNÉRAL DE GAULLE,,33330,SAINT SULPICE DE FALEYRENS,33480,30,,Oui,0,0,,0,,,,,,,,,,,, 15h30, 18h30,,,,,,,,,,,,,,,,
1501,Lalande-de-Pomerol,26,,0557514006,0557519490,mairie.lalande.pomerol@orange.fr,,BDP Lalande-de-Pomerol,,MAIRIE,6 ,,LANDE,,33500,LALANDE DE POMEROL,33222,30,LAGARDE,Oui,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Vendays-Montalivet,9,,0556731848,0556733203,coinlecturevm@yahoo.fr,,BDP Vendays-Montalivet,,,11,,PLACE DE LA MAIRIE,,33930,VENDAYS MONTALIVET,33540,29,,Oui,1,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,Arsac,4,,0557888656,,bibliotheque@arsac.fr,,BDP Arsac,,,14,,AVENUE DE LIGONDRAS,,33460,ARSAC,33012,20,,Oui,1,0,,0,,,,,,,, 16h00, 18h00,10h30, 12h00, 14h30, 18h00,,,,,,, 16h00, 18h30,10h00, 12h30,,,,,,
2075,Brazil,0,,,,,,BDP Brazil,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,Cenon,32,,0557773177,0557773175,mediatheque@ville-cenon.fr,http://www.ville-cenon.fr/,BDP Cenon,,,1,,AVENUE DU PRÉSIDENT VINCENT AURIOL,,33153,CENON,33119,55,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,Sainte-Hélène,16,,0557886168,0556585104,bibmunsh@gmail.com,,BDP Sainte-Hélène,,MAIRIE,,B,,,33480,SAINTE HÉLÈNE,33417,20,PIN Jacqueline,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 15h00, 17h00,,,,,,,,,10h00, 12h00,,,,,,
1507,Mongauzy,26,,0556617016,0556617705,mongauzy@wanadoo.fr,,BDP Mongauzy,,,4,,LE BOURG SUD,,33190,MONGAUZY,33287,38,,Oui,1,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383,Biganos,12,,0556039334,,lducos@villedebiganos.fr,http://bibliobiganos.over-blog.com/,BDP Biganos,,,,,RUE PIERRE DE COUBERTIN,,33380,BIGANOS,33051,2,,Oui,0,0,,0,,,,,,09h00, 12h00, 14h00, 17h45,09h00, 12h00, 14h00, 17h45,,,,,09h00, 12h00, 14h00, 17h45,10h00, 12h00,,,,,,
1712,Pompignac,16,,0556728112,,biblio-mairie-pompignac@orange.fr,http://www.pompignac.fr/index.php?option=com_content&view=category&layout=blog&id=67&Itemid=169,BDP Pompignac,,MAIRIE,,,ESPACE ARTS ET LOISIRS,,33370,POMPIGNAC,33330,23,DEJEAN Marie-Agnès,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,, 16h00, 18h30,,, 15h30, 17h30,10h30, 12h00,,,,,,,10h30, 12h00,,,,,,
