UAI,NOM_LONG,NOM_COURT,INSEE_COMMUNE,CONTRAT,TEL,FAX,MAIL,CHEF,ADJOINT,GESTIONNAIRE,N_ZAP,N_SECTEUR,RRS,SEGPA,UPI,SECTION_INTERNATIONAL,SECTION_EURO,TECHNO,ENS_SPE,DATEOUVERTURE,DATEFERMETURE,EFFECTIF_ANNEE_2007,EFFECTIF_ANNEE_2008,EFFECTIF_ANNEE_2009,EFFECTIF_ANNEE_2010,EFFECTIF_ANNEE_2011,EFFECTIF_ANNEE_2012,LONGITUDE,LATITUDE
0330132P,Collège Pont De La Maye,Pont De La Maye,33550,PUBLIC,0556871403,0556877930,ce.0330132P@ac-bordeaux.fr,MONSIEUR KRAFFT PATRICK,MONSIEUR MINIER RONAN,MONSIEUR BESSEMOULIN LUC,05,0330510,,0,,,,,,01/05/1965,,530,514,531,536,542,558,-0.5682435,44.779987
0330145D,Collège Capeyron,Capeyron,33281,PUBLIC,0556470106,0556973356,ce.0330145D@ac-bordeaux.fr,MADAME BERJOT MARTINE,MADEMOISELLE VANDERBERGUE NADEGE,MADAME TESSIER CHRISTELLE,07,0330702,,0,,,,,,08/12/1965,,413,420,427,449,451,421,-0.6475932,44.849895
0330163Y,Collège Elie Faure,Elie Faure,33402,PUBLIC,0553744660,0553583185,ce.0330163Y@ac-bordeaux.fr,MADAME DAURIAC CHANTAL,MADAME DUBOIS CATHERINE,MADAME MANOU MURIEL,04,0330412,,1,,,,,,14/03/1977,,621,646,628,618,581,545,0.20273858,44.8428
0331513R,Collège St Louis Ste Therese,St Louis Ste Therese,33063,PRIVE,0557876451,0557877169,accueil@sthelo.com,MONSIEUR EMMANUEL VILBOIS ,,,02,0330204,,0,,,,,,17/03/1967,,173,163,175,223,241,246,,
0331524C,Collège Jean J.Lataste,Jean J.Lataste,33081,PRIVE,0556626775,0556626868,ce.0331524C@ac-bordeaux.fr,MONSIEUR JEAN MARIE LUCCHESI,,,06,0330602,,0,,,,,,05/04/1967,,148,160,138,133,126,150,,
0331528G,Collège Notre Dame,Notre Dame,33240,PRIVE,0556733205,0556733207,ce.0331528G@ac-bordeaux.fr,MADAME VALÉRIE MONTALBANO,,,08,0330804,,0,,,,,,05/04/1967,,213,212,215,170,161,172,,
0331531K,Collège Anglade Langalerie,Anglade Langalerie,33402,PRIVE,0557460312,0557462162,ce.0331531K@ac-bordeaux.fr,MADAME EVA MAILLE,,,04,0330412,,0,,,,,,05/04/1967,,197,187,181,149,174,174,,
0331433D,Collège Pierre Martin,Pierre Martin,33350,PUBLIC,0557847350,0557847359,ce.0331433D@ac-bordeaux.fr,MADAME MOUTON BARRERE FRANÇOISE,,MADAME BERARD MARIELLE,04,0330411,,0,,,,,,03/10/1966,,321,338,358,349,359,375,-0.12333931,44.777634
0331461J,Collège Cassignol,Cassignol,33063,PUBLIC,0556818025,0556813328,ce.0331461J@ac-bordeaux.fr,MONSIEUR ARDELLIER JEAN-FRANÇOIS,MONSIEUR BROCHON STEPHANE,MADAME HUG NADIA,02,0330203,,0,,,,,,07/11/1967,,772,811,834,838,834,833,-0.58549064,44.85204
0331490R,Collège Lestonnac,Lestonnac,33099,PRIVE,0556219470,0556683217,ce.0331490R@ac-bordeaux.fr,MONSIEUR FRANÇOIS BEGARDS,,,03,0330310,,0,,,,,,15/03/1967,,253,232,250,278,315,364,,
0331500B,Collège Notre Dame Sevigne,Notre Dame Sevigne,33522,PRIVE,0556805551,0556809330,ce.0331500B@ac-bordeaux.fr,MONSIEUR LIONEL FRAIZE,,,05,0330507,,0,,,,,,15/03/1967,,421,413,403,444,448,435,,
0330008E,Collège Jean Verdier,Jean Verdier,33019,PUBLIC,0557762828,0557762829,ce.0330008E@ac-bordeaux.fr,MADAME PINCHEDEZ CHRISTIANE,MADEMOISELLE MAQUIN FLORENCE,MADAME MAHIEU FRANÇOISE,09,0330904,,0,,,,,,01/05/1965,,521,517,514,519,539,560,-1.0056976,44.686153
0330059K,Collège Anatole France,Anatole France,33081,PUBLIC,0556629842,0556626981,ce.0330059K@ac-bordeaux.fr,MONSIEUR DEBSKI FABRICE,MADAME CHAMPION LAURENCE,MADAME PIQUE DOROTHEE,06,0330602,RRS,0,,,,,,01/05/1965,,579,617,652,674,699,695,-0.3066367,44.63049
0332569N,Collège Porte Du Médoc,Porte Du Médoc,33312,PUBLIC,0556570925,0556356767,ce.0332569N@ac-bordeaux.fr,MONSIEUR GUISON PHILIPPE,MONSIEUR LAVIALLE YVES,MONSIEUR CLEMENS FABRICE,02,0330211,,0,,,,,,01/09/1982,,685,692,694,719,735,734,-0.5998433,44.947212
0332705L,Collège Francois Mauriac,Francois Mauriac,33397,PUBLIC,0556380706,0556069502,ce.0332705L@ac-bordeaux.fr,MADAME PHILIPPARIE CHANTAL,MADAME ARMENTIA CATHERINE,MADAME TAPIE VERONIQUE,03,0330314,,0,,,,,,01/09/1985,,404,438,449,456,462,448,-0.47281915,44.902683
0332743C,Collège Alienor d'Aquitaine,Alienor d'Aquitaine,33273,PUBLIC,0556780727,0556786447,ce.0332743C@ac-bordeaux.fr,MONSIEUR BOULAGNON J.FRANÇOIS,,MADAME LIEVAL CHRISTINE,07,0330701,,0,,,,,,01/09/1987,,367,391,406,397,407,417,-0.7812886,44.84622
0332768E,Collège Alienor d'Aquitaine,Alienor d'Aquitaine,33063,PUBLIC,0556914243,0556330717,ce.0332768E@ac-bordeaux.fr,MADAME GERVAIS LYSIANE,MADAME GUILLOTTEAU BENEDICTE,MADAME PERROUCHINE SOPHIE,01,0330103,,0,,,,,,01/09/1988,,617,621,629,654,707,731,-0.5612565,44.82368
0333093H,Collège Léonard De Vinci,Léonard De Vinci,33376,PUBLIC,0556574830,0556574835,ce.0333093H@ac-bordeaux.fr,MONSIEUR FERRER JOSEPH,MADAME MATINEZ-LE THI XUAN,MADAME BERTRAND FUHRER FLORENCE,02,0330214,,0,,,,,,01/09/2003,,665,692,692,657,662,632,-0.71548486,44.906296
0333129X,Collège Saint Joseph,Saint Joseph,33056,PRIVE,0556955430,0556359970,ce.0333129X@ac-bordeaux.fr,MONSIEUR PATRICK MIRAMONT,,,02,0330201,RAR,0,,,,,,01/09/2005,,72,75,75,71,91,93,,
0333134C,Collège de l'Estey,De L'Estey,33422,PUBLIC,0556210950,0556218473,ce.0333134C@ac-bordeaux.fr,MADAME LACOMBE ANNETTE,,MADAME BENHALILOU ILHEME,07,0330711,,0,,,,,,01/09/2006,,470,455,469,475,457,470,-0.8063271,44.80726
0333274E,Collège de Bruges,Bruges,33075,PUBLIC,0556800006,0556806657,ce.0333274E@ac-bordeaux.fr,MADAME BOZON MURIEL,,MONSIEUR MUNSCH DIDIER,02,0330216,,0,,,,,,01/09/2012,,,,,,,200,,
0331617D,Collège Claude Massé,Claude Massé,33003,PUBLIC,0556389360,0556388628,ce.0331617D@ac-bordeaux.fr,MONSIEUR SYNNAEVE GERARD,MADAME GADROY GERALDINE,MADAME MARGUERITAT MIREILLE,03,0330301,,0,,,,,,02/04/1968,,590,606,607,618,676,690,-0.48385108,44.92828
0331620G,Collège Camille Claudel,Camille Claudel,33234,PUBLIC,0557971599,0556201847,ce.0331620G@ac-bordeaux.fr,MADAME SETBON SONIA,MONSIEUR ESCUER GILLES,MONSIEUR SALIME SOILHI,03,0330310,,0,,,,,,02/04/1968,,885,919,910,922,896,915,-0.49180764,44.786556
0331622J,Collège Fontaines De Monjous,Fontaines De Monjous,33192,PUBLIC,0556891901,0556751157,ce.0331622J@ac-bordeaux.fr,MONSIEUR TOURNERIE JACKY,MONSIEUR LIENARD EMMANUEL,MONSIEUR GUERIN JEAN-PIERRE,05,0330503,,0,,,,,,02/04/1968,,680,695,682,684,704,751,-0.6067576,44.7768
0331662C,Collège Alain Fournier,Alain Fournier,33063,PUBLIC,0556961894,0556994647,ce.0331662C@ac-bordeaux.fr,MADAME CAUCHOIS MARTINE,MONSIEUR DELMON MARC,MADAME DECAP MARIE LAURE,01,0330106,,0,,,,,,03/03/1969,,601,613,617,755,740,724,-0.5807767,44.82792
0331664E,Collège Francois Mauriac,Francois Mauriac,33449,PUBLIC,0556050824,0556059613,ce.0331664E@ac-bordeaux.fr,MADAME ARFOUILLOUX-DUBOS M.CHRISTINE,MADAME SAVIGNAC CAROLINE,MADAME COURSIERE SYLVIE,02,0330213,,0,,,,,,03/03/1969,,550,532,553,559,564,573,-0.7104203,44.894497
0331669K,Collège Ausone,Ausone,33069,PUBLIC,0556507414,0556390238,ce.0331669K@ac-bordeaux.fr,MADAME HERROU PASCALE,MADAME FORT MARYSE,MADAME PAULETTO ANNICK,02,0330208,,1,,,,,,03/03/1969,,778,801,774,800,826,687,-0.5955483,44.871056
0331888Y,Collège du Val de Saye,Val De Saye,33492,PUBLIC,0557589118,0557589961,ce.0331888Y@ac-bordeaux.fr,MADAME MAURIN MARIE-ANNICK,MONSIEUR HELLER FRANÇOIS,MADAME LACOMBE EVELYNE,10,0331006,RRS,0,,,,,,04/02/1971,,664,684,716,717,711,700,-0.41085854,45.139248
0331895F,Collège Montaigne,Montaigne,33249,PUBLIC,0556061267,0557773650,ce.0331895F@ac-bordeaux.fr,MONSIEUR LASCAUX CHRISTIAN,MADAME LABASTE NADINE,MONSIEUR MARTINEZ FRANCK,03,0330312,RAR,0,,,,,,19/04/1971,,354,341,338,321,281,277,-0.5159848,44.8743
0332085M,Collège Jean Auriac,Jean Auriac,33015,PUBLIC,0557248099,0557248674,ce.0332085M@ac-bordeaux.fr,MADAME SAINT ANDRE DOROTHEE,MADAME DODIER M.FRANÇOISE,MADAME LOUALI NICOLE,04,0330401,,0,,,,,,23/02/1972,,466,504,506,536,572,594,-0.28538653,44.883568
0332187Y,Collège Hastignan,Hastignan,33449,PUBLIC,0556051397,0556700223,ce.0332187Y@ac-bordeaux.fr,MADAME GOMIS DANIELLE,MONSIEUR MAZOUAUD JEAN FRANÇOIS,MELLE BORDES LISETTE,02,0330212,,1,,,,,,02/04/1973,,807,804,839,896,876,894,-0.74547565,44.893158
0332191C,Collège Gérard Philipe,Gérard Philipe,33318,PUBLIC,0556151250,0556457941,ce.0332191C@ac-bordeaux.fr,MADAME CHARLEMARTY NICOLE,MADAME SAINT MACARY NADINE,MONSIEUR JOUX PHILIPPE,07,0330710,,1,,,,,,02/04/1973,,385,382,368,400,415,395,-0.6230517,44.79936
0332246M,Collège Chambéry,Chambéry,33550,PUBLIC,0556877485,0556877488,ce.0332246M@ac-bordeaux.fr,MONSIEUR BARRAUD PHILIPPE,MADAME CAMUS ANNIE,MONSIEUR SICARD BENOIT,05,0330509,,1,,,,,,02/05/1974,,590,575,587,560,562,566,-0.5839959,44.756153
0332283C,Collège Francois Mitterrand,Francois Mitterrand,33140,PUBLIC,0557970180,0556230134,ce.0332283C@ac-bordeaux.fr,MADAME DECOMBEROUSSE BEATRICE,Madame ABALEA Joëlle,MADAME OUDALOFF-BEVAM  M-F,03,0330307,,1,,,,,,08/04/1975,,852,845,863,912,937,937,-0.35196245,44.77319
0332327A,Collège St Clement,St Clement,33144,PRIVE,0556254287,0556254713,ce.0332327A@ac-bordeaux.fr,MONSIEUR RÉGIS DUCASSE,,,06,0330601,,0,,,,,,10/05/1975,,132,120,142,145,181,204,,
0332341R,Collège Jacques Prévert,Jacques Prévert,33067,PUBLIC,0557684610,0557940946,ce.0332341R@ac-bordeaux.fr,MONSIEUR VERDIER PHILIPPE,MADAME BENOIST CAROLINE,MADAME LEGENDRE FLORENCE,10,0331002,,0,,,,,,13/02/1976,,444,496,518,524,567,559,-0.55540407,45.041798
0332347X,Collège Sébastien Vauban,Sébastien Vauban,33058,PUBLIC,0557420400,0557423193,ce.0332347X@ac-bordeaux.fr,MONSIEUR THEBAULT ALAIN,MADAME BAYLE KETTY,Monsieur PERPERE Nicolas,10,0331001,,1,,,,,,08/04/1976,,827,800,783,703,680,666,-0.65847206,45.12461
0332487Z,Collège St Elme,St Elme,33009,PRIVE,0556549223,0556548805,ce.0332487Z@ac-bordeaux.fr,MONSIEUR GEORGES AMBROISE,,,09,0330902,,0,,,,,,01/09/1980,,395,411,431,471,468,484,,
0333287U,Collège de Lacanau,Lacanau,33214,PUBLIC,,,,,,,08,0330803,,0,,,,,,01/09/2013,,,,,,,,,
0330017P,Collège Jean Zay,Jean Zay,33051,PUBLIC,0557170170,0557170173,ce.0330017P@ac-bordeaux.fr,MONSIEUR LA GOUTE DANIEL,MADAME CAILLAUD ISABELLE,MADAME BAUDELIN VERONIQUE,09,0330905,,0,,,,,,01/05/1965,,460,463,470,502,508,530,-0.9763787,44.635902
0330058J,Collège Paul Emile Victor,Paul Emile Victor,33071,PUBLIC,0557554900,0557554909,ce.0330058J@ac-bordeaux.fr,MONSIEUR MELLE JOËL,,MONSIEUR GUILHEM GUERYJACQUES,04,0330402,,0,,,,,,01/05/1965,,366,398,409,414,439,484,-0.18493377,44.82452
0330062N,Collège Canterane,Canterane,33104,PUBLIC,0557888370,0557888371,ce.0330062N@ac-bordeaux.fr,MONSIEUR ROQUEJOFFRE PHILIPPE,MADAME FERNANDEZ-ARFEUILLE KAREN,MONSIEUR VINET THIERRY,08,0330802,,0,,,,,,01/05/1965,,561,587,621,653,705,714,-0.79152733,45.030693
0330064R,Collège Alienor d'Aquitaine,Alienor d'Aquitaine,33108,PUBLIC,0557400212,0557403210,ce.0330064R@ac-bordeaux.fr,MADAME PEYSSONNERIE JOSIANE,MADAME BRISSEAU EMMELINE,MADAME MARLOT MARIE CLAUDE,04,0330403,RRS,0,,,,,,01/05/1965,,336,355,369,414,382,380,-0.05070169,44.851517
0330065S,Collège Monséjour,Monséjour,33063,PUBLIC,0556121640,0556472107,ce.0330065S@ac-bordeaux.fr,MONSIEUR PERTOLDI MICHEL,MONSIEUR HANI MUSTAPHA,MONSIEUR TOUSSAINT PHILIPPE,02,0330206,,0,,,,,,01/05/1965,,512,503,511,501,528,513,-0.6313311,44.855797
0330066T,Collège Saint Andre,Saint Andre,33063,PUBLIC,0556080868,0557229230,ce.0330066T@ac-bordeaux.fr,MONSIEUR DUPUY ERIC,MADAME ZITOUNI NASSERA,MADAME MUSSEAU MONIQUE,02,0330207,,0,,,,,,01/05/1965,,540,551,564,576,623,670,-0.6165177,44.85541
0330081J,Collège Jules Chambrelent,Jules Chambrelent,33203,PUBLIC,0556091252,0556092530,ce.0330081J@ac-bordeaux.fr,MONSIEUR GREZES OLIVIER,,MADAME PATELIN MARYSE,08,0330803,,0,,,,,,01/05/1965,,366,360,400,404,431,470,-1.0565084,45.188488
