COMMUNE_INSEE,COMMUNE_LIBMIN,COMMUNE_LIBSNA,COMMUNE_LIBDOC,ARR_V3CAR,ARR_V1CAR,ARR_LIBMIN,CANTON_V4CAR,CANTON_V2CAR,CANTON_LIBMIN,MAIRIE_ADR_L1,MAIRIE_ADR_L2,MAIRIE_ADR_L3,MAIRIE_ADR_L4NUM,MAIRIE_ADR_L4B,MAIRIE_ADR_L4VOIE,MAIRIE_ADR_L4_COMPLET,MAIRIE_ADR_L5,MAIRIE_ADR_L6CP,MAIRIE_ADR_L6COMMUNE,MAIRE_MR_MME,MAIRE_NOM,MAIRE_PRENOM,MAIRIE_TEL,MAIRIE_FAX,MAIRIE_MAIL,MAIRIE_SITE
33180,Gans,GANS                                  ,,333,3,,3304,04,Bazas,,,,,,,5 LE BOURG,,33430,GANS,Monsieur,BELLOC,Laurent,0556250975,0556254973,mairiegans@wanadoo.fr,www.mairie gans.fr
33181,Gardegan-et-Tourtirac,GARDEGAN ET TOURTIRAC                 ,,335,5,,3321,21,Castillon-la-Bataille,,,,,,,HOTEL DE VILLE,,33350,GARDEGAN ET TOURTIRAC,Monsieur,FERRER,Jean-Pierre,0557406388,0557406483,mairiedegardegan@wanadoo.fr,
33182,Gauriac,GAURIAC                               ,,331,1,,3315,15,Bourg,,,,,,,HOTEL DE VILLE,40 RUE FRANCICOT NORD,33710,GAURIAC,Monsieur,BALDES,Robert-Henri,0557648008,0557648913,mairie@gauriac.fr,www.gauriac.fr
33183,Gauriaguet,GAURIAGUET                            ,,331,1,,3339,39,Saint-André-de-Cubzac,,,,,,,6 RUE DE LA MAIRIE,,33240,GAURIAGUET,Monsieur,MONTANGON,Alain,0557687021,0557687540,mairie.de.gauriaguet@wanadoo.fr,
33184,Générac,GENERAC                               ,,331,1,,3344,44,Saint-Savin,,,,,,,HOTEL DE VILLE,,33920,GENERAC,Monsieur,CADUSSEAU,Régis,0557647428,0557645792,generac mairie@wanadoo.fr,
33185,Génissac,GENISSAC                              ,,335,5,,3316,16,Branne,,,,,,,192 ROUTE DE SAINT QUENTIN,,33420,GENISSAC,Monsieur,ROY,Jacques,0557244861,0557244146,mairie.genissac@wanadoo.fr,
33186,Gensac,GENSAC                                ,,335,5,,3337,37,Pujols,,,,,,,PLACE DE L'HOTEL DE VILLE,,33890,GENSAC,Monsieur,BREL,Claude,0557474237,0557474663,mairie de gensac@wanadoo.fr,www.gensac.free.fr
33187,Gironde-sur-Dropt,GIRONDE SUR DROPT                     ,,333,3,,3338,38,Réole (La),,,,,,,46 AVENUE DU GENERAL DE GAULLE,BP 6,33190,GIRONDE SUR DROPT,Monsieur,BOS,Thierry,0556711118,0556711105,gironde sur dropt@wanadoo.fr,
33188,Giscos,GISCOS                                ,,333,3,,3318,18,Captieux,,,,,,,HOTEL DE VILLE,,33840,GISCOS,Monsieur,CAPES,Jean-Pierre,0556658236,0556658384,mairie.giscos@wanadoo.fr,
33189,Gornac,GORNAC                                ,,333,3,,3347,47,Sauveterre-de-Guyenne,,,,,,,1 PLACE DE LA MAIRIE,,33540,GORNAC,Monsieur,LAMOUROUX,Pierre-Didier,0556619615,0556619680,mairie@gornac.fr,
33190,Goualade,GOUALADE                              ,,333,3,,3318,18,Captieux,,,,,,,HOTEL DE VILLE,7 LE BOURG,33840,GOUALADE,Monsieur,AUCOIN,Alain,0556658179,0556658179,mairie.goualade@wanadoo.fr,
33191,Gours,GOURS                                 ,,335,5,,3331,31,Lussac,,,,,,,1 LE BOURG,,33660,GOURS,Monsieur,PAIGNE,Alain,0557497440,0557497326,mairiedegours@wanadoo.fr,
33192,Gradignan,GRADIGNAN                             ,,332,2,,3359,59,Gradignan,,,,,,,CHÂTEAU LAURENZANE,CS 50 105,33173,GRADIGNAN CEDEX,Monsieur,LABARDIN,Michel,0556756500,0556756565,le maire@ville gradignan.fr,www.ville gradignan.fr
33193,Grayan-et-l'Hôpital,GRAYAN ET L HOPITAL                   ,,334,4,,3346,46,Saint-Vivien-de-Médoc,,,,,,,58 RUE DES GOËLANDS,,33590,GRAYAN ET L'HOPITAL,Monsieur,LAPORTE,Jean-Serge,0556094301,0556095473,mairie.de.grayan.et.lhopital@wanadoo.fr,
33194,Grézillac,GREZILLAC                             ,,335,5,,3316,16,Branne,,,,,,,HOTEL DE VILLE,BP 19,33420,GREZILLAC,Monsieur,BARREAU,Claude,0557845210,0557846751,mairie.grezillac33@wanadoo.fr,
33195,Grignols,GRIGNOLS                              ,,333,3,,3325,25,Grignols,,,,,,,56 ALLEE SAINT MICHEL,,33690,GRIGNOLS,Monsieur,BAILLE,Jean-Pierre,0556650120,0556256122,communedegrignols@wanadoo.fr,
33196,Guillac,GUILLAC                               ,,335,5,,3316,16,Branne,,,,,,,HOTEL DE VILLE,2 RUE CAPERANIE,33420,GUILLAC,Monsieur,FROMENTIER,Jacky,0557845228,0557845228,guillac.mairie@wanadoo.fr,www.mairie.guillac.over blog.com
33197,Guillos,GUILLOS                               ,,333,3,,3336,36,Podensac,,,,,,,HOTEL DE VILLE,,33720,GUILLOS,Monsieur,BEDOUT,Jean-Louis,0556625208,0556624376,mairie.guillos@orange.fr,
33198,Guîtres,GUITRES                               ,,335,5,,3326,26,Guîtres,,,,,,,HOTEL DE VILLE,8 GRAND RUE,33230,GUITRES,Monsieur,PEJEAN,Francis,0557691034,0557561940,guitres.mairie@wanadoo.fr,
33199,Gujan-Mestras,GUJAN MESTRAS                         ,,336,6,,3349,49,Teste-de-Buch (La),,,,,,,1 PLACE DU GENERAL DE GAULLE,,33470,GUJAN MESTRAS,Madame,DES ESGAULX,M. Hélène,0557525752,0557525753,bal.mairie@ville gujanmestras.fr,www.ville gujanmestras.fr
33200,Le Haillan,LE HAILLAN                            ,,332,2,,3363,63,Saint-Médard-en-Jalles,,,,,,,137 AVENUE PASTEUR,BP 9,33186,LE HAILLAN CEDEX,Monsieur,LABISTE,Bernard,0557931111,0557931112,contact@ville lehaillan.fr,www.ville lehaillan.fr
33201,Haux,HAUX                                  ,,332,2,,3323,23,Créon,,,,,,,LE GRAND CHEMIN,,33550,HAUX,Monsieur,LE GOREC,Bernard,0556230522,0556230433,mairie.haux33@wanadoo.fr,www.mairie.haux33.fr
33202,Hostens,HOSTENS                               ,,333,3,,3345,45,Saint-Symphorien,,,,,,,1 ROUTE DE MONT DE MARSAN,,33125,HOSTENS,Monsieur,VIALLESOUBRANNE,Michel,0556885021,0556885794,mairie@hostens.fr,www.hostens.fr
33203,Hourtin,HOURTIN                               ,,334,4,,3342,42,Saint-Laurent-Médoc,,,,,,,PLACE DE L'EGLISE,BP 26,33990,HOURTIN,Monsieur,BIROT,Christophe,0556732843,0556732844,accueil@mairie hourtin.fr,www.hourtin.medoc.com
33204,Hure,HURE                                  ,,333,3,,3338,38,Réole (La),,,,,,,HOTEL DE VILLE,12 RUE DE L'EGLISE,33190,HURE,Madame,PICON,Chantal,0556610613,0556612480,mairie.hure@wanadoo.fr,
33205,Illats,ILLATS                                ,,333,3,,3336,36,Podensac,,,,,,,HOTEL DE VILLE,46 LE BOURG OUEST,33720,ILLATS,Monsieur,DUBOURG,Philippe,0556625314,0556624114,mairie illats@wanadoo.fr,www.illats.fr
33206,Isle-Saint-Georges,ISLE ST GEORGES                       ,,332,2,,3327,27,Brède (La),,,,,,,HOTEL DE VILLE,,33640,ISLE SAINT GEORGES,Monsieur,LEMIRE,Jean-André,0556726729,0556727507,mairie.isle.st.georges@wanadoo.fr,www.islesaintgeorges.fr
33207,Izon,IZON                                  ,,335,5,,3330,30,Libourne,,,,,,,207 AVENUE DU GENERAL DE GAULLE,,33450,IZON,Madame,ROUX,Anne-Marie,0557554546,0557554969,contact@izon.fr,www.mairie izon.fr
33208,Jau-Dignac-et-Loirac,JAU DIGNAC ET LOIRAC                  ,,334,4,,3346,46,Saint-Vivien-de-Médoc,,,,,,,HOTEL DE VILLE,,33590,JAU DIGNAC ET LOIRAC,Monsieur,CECCHINI,Gino,0556094212,0556739826,mairie.de.jau.dignac.loirac@wanadoo.fr,
33209,Jugazan,JUGAZAN                               ,,335,5,,3316,16,Branne,,,,,,,HOTEL DE VILLE,,33420,JUGAZAN,Monsieur,FALGUEYRET,François,0557841478,0557840151,mairie.jugazan@wanadoo.fr,
33210,Juillac,JUILLAC                               ,,335,5,,3337,37,Pujols,,,,,,,HOTEL DE VILLE,,33890,JUILLAC,Monsieur,ZECCHINI,Alphonse,0557405111,0557402753,juillac.mairie@wanadoo.fr,
33211,Labarde,LABARDE                               ,,334,4,,3320,20,Castelnau-de-Médoc,,,,,,,1 CHEMIN DE LA LAURINA,,33460,LABARDE,Madame,MONNEREAU,Liliane,0557883374,0557887257,mairie labarde@wanadoo.fr,
33212,Labescau,LABESCAU                              ,,333,3,,3325,25,Grignols,,,,,,,HOTEL DE VILLE,,33690,LABESCAU,Monsieur,LAFARGUE,Christian,0556256205,0556256227,labescau.mairie@wanadoo.fr,
33213,La Brède,LA BREDE                              ,,332,2,,3327,27,Brède (La),,,,,,,PLACE SAINT JEAN D'ETAMPES,,33650,LA BREDE,Monsieur,DUFRANC,Michel,0557971858,0557971850,contact@labrede montesquieu.com,www.labrede montesquieu.com
33214,Lacanau,LACANAU                               ,,334,4,,3320,20,Castelnau-de-Médoc,,,,,,,31 AVENUE DE LA LIBERATION,,33680,LACANAU,Monsieur,DAVID,Jean-Michel,0556038303,0556035990,maire@mairie lacanau.fr,www.mairie lacanau.fr
33215,Ladaux,LADAUX                                ,,333,3,,3348,48,Targon,,,,,,,HOTEL DE VILLE,11 ROUTE CANTOIS,33760,LADAUX,Monsieur,MANDRAU,Jean-Louis,0556236135,0556236135,mairiedeladaux@orange.fr,
33216,Lados,LADOS                                 ,,333,3,,3303,03,Auros,,,,,,,HOTEL DE VILLE,2 BIS LE BOURG,33124,LADOS,Monsieur,DUCHAMPS,Jean-Claude,0556654455,0556655941,mairie de lados2@wanadoo.fr,
33218,Lagorce,LAGORCE                               ,,335,5,,3326,26,Guîtres,,,,,,,HOTEL DE VILLE,,33230,LAGORCE,Monsieur,FAURE,Serge,0557560530,0557560531,mairie.de.lagorce@wanadoo.fr,
33219,La Lande-de-Fronsac,LA LANDE DE FRONSAC                   ,,335,5,,3324,24,Fronsac,,,,,,,165 ROUTE DES TEMPLIERS,,33240,LA LANDE DE FRONSAC,Monsieur,GALAND,Jean,0557581814,0557582323,infos@lalandedefronsac.fr ; mairiedelalandedefronsac@wanadoo.fr,www.lalandedefronsac.fr
33220,Lamarque,LAMARQUE                              ,,334,4,,3320,20,Castelnau-de-Médoc,,,,,,,28 RUE PRINCIPALE,BP 13,33460,LAMARQUE,Monsieur,SAINT-MARTIN,Dominique,0556589012,0556589751,mairie de lamarque@wanadoo.fr,
33221,Lamothe-Landerron,LAMOTHE LANDERRON                     ,,333,3,,3338,38,Réole (La),,,,,,,HOTEL DE VILLE,,33190,LAMOTHE LANDERRON,Monsieur,DESPUJOL,Michel,0556617113,0556617177,lamothe landerron@wanadoo.fr,
33222,Lalande-de-Pomerol,LALANDE DE POMEROL                    ,,335,5,,3330,30,Libourne,,,,,,,HOTEL DE VILLE,,33500,LALANDE DE POMEROL,Monsieur,COURTY,Christian,0557514006,0557519490,mairie.lalande.pomerol@orange.fr,
33223,Landerrouat,LANDERROUAT                           ,,333,3,,3334,34,Pellegrue,,,,,,,HOTEL DE VILLE,,33790,LANDERROUAT,Madame,LACOMBE,Janine,0556613398,0556614987,mairie.landerrouat@wanadoo.fr,
33224,Landerrouet-sur-Ségur,LANDERROUET SUR SEGUR                 ,,333,3,,3332,32,Monségur,,,,,,,LE BOURG,,33540,LANDERROUET SUR SEGUR,Monsieur,GASNAULT,Jean-Pierre,0556714919,0556714919,mairie.landerrouet sur segur@orange.fr,
33225,Landiras,LANDIRAS                              ,,333,3,,3336,36,Podensac,,,,,,,4 PLACE DU XI NOVEMBRE,,33720,LANDIRAS,Monsieur,PELLETANT,Jean-Marc,0556625028,0556624869,mairie.landiras@wanadoo.fr,www.landiras.fr
33226,Langoiran,LANGOIRAN                             ,,333,3,,3317,17,Cadillac,,,,,,,5 PLACE DOCTEUR ABAUT,,33550,LANGOIRAN,Monsieur,ORSONI,Raoul,0556670106,0556675674,communication@ville langoiran.fr,www.langoiran.fr
33227,Langon,LANGON                                ,,333,3,,3328,28,Langon,,,,,,,BP 115,14 ALLEE JEAN JAURES,33212,LANGON CEDEX,Monsieur,VERITE,Charles,0556765533,0556765558,contact@langon33.fr,www.langon33.fr
33228,Lansac,LANSAC                                ,,331,1,,3315,15,Bourg,,,,,,,HOTEL DE VILLE,,33710,LANSAC,Monsieur,MANCIET,Jean-Michel,0557684033,0557683557,mairie@lansac.org,
33229,Lanton,LANTON                                ,,336,6,,3302,02,Audenge,,,,,,,18 AVENUE DE LA LIBERATION,,33138,LANTON,Monsieur,GAUBERT,Christian,0556038600,0556828270,secretariat general@ville lanton.fr,www.ville lanton.fr
33230,Lapouyade,LAPOUYADE                             ,,335,5,,3326,26,Guîtres,,,,,,,23 AVENUE DE VERDUN,,33620,LAPOUYADE,Madame,ESTRADE,Hélène,0557494005,0557690101,mairie lapouyade@wanadoo.fr,
33231,Laroque,LAROQUE                               ,,333,3,,3317,17,Cadillac,,,,,,,HOTEL DE VILLE,,33410,LAROQUE,Monsieur,BEGARD,Henri,0556626011,0556626011,mairie laroque@wanadoo.fr,
33232,Lartigue,LARTIGUE                              ,,333,3,,3318,18,Captieux,,,,,,,3 LE BOURG OUEST,,33840,LARTIGUE,Monsieur,MOURILLON,Jean-Jacques,0556658502,0556658502,mairie lartigue@wanadoo.fr,
33233,Laruscade,LARUSCADE                             ,,331,1,,3344,44,Saint-Savin,,,,,,,HOTEL DE VILLE,106 LE BOURG,33620,LARUSCADE,Monsieur,LABEYRIE,Jean-Paul,0557686718,0557681484,secretariat@mairie laruscade.fr,
33234,Latresne,LATRESNE                              ,,332,2,,3323,23,Créon,,,,,,,1 AVENUE JEAN BALDE,BP 13,33360,LATRESNE,Monsieur,DELCROS,Francis,0557970270,0556201117,mairie@mairie latresne.fr,
33235,Lavazan,LAVAZAN                               ,,333,3,,3325,25,Grignols,,,,,,,HOTEL DE VILLE,,33690,LAVAZAN,Monsieur,LAPORTE,Jacky,0556255523,0556255523,mairie.lavazan@orange.fr,
33236,Lège-Cap-Ferret,LEGE CAP FERRET                       ,,336,6,,3302,02,Audenge,,,,,,,79 AVENUE DE LA MAIRIE,,33950,LEGE CAP FERRET,Monsieur,SAMMARCELLI,Michel,0556038400,0556603232,secretariat.mb@legecapferret.fr,www.ville lege capferret.fr
33237,Léogeats,LEOGEATS                              ,,333,3,,3328,28,Langon,,,,,,,HOTEL DE VILLE,,33210,LEOGEATS,Monsieur,PUJOL,Cédric,0556766349,0556766495,commune.leogeats@wanadoo.fr,
33238,Léognan,LEOGNAN                               ,,332,2,,3327,27,Brède (La),,,,,,,11 COURS DU MARECHAL DE LATTRE,,33850,LEOGNAN,Monsieur,FATH,Bernard,0557960031,0557960230,b.fath@mairie leognan.fr,www.mairie leognan.fr
33239,Lerm-et-Musset,LERM ET MUSSET                        ,,333,3,,3325,25,Grignols,,,,,,,HOTEL DE VILLE,16 LE BOURG,33840,LERM ET MUSSET,Monsieur,DARGUENCE,Michel,0556658016,0556658936,mairiedelermetmusset@orange.fr,
33240,Lesparre-Médoc,LESPARRE MEDOC                        ,,334,4,,3329,29,Lesparre-Médoc,,,,,,,37 COURS DU MAL DE LATTRE DE TASSIGNY,,33340,LESPARRE MEDOC,Monsieur,GUIRAUD,Bernard,0556732100,0556418683,contact@mairie lesparre.fr,www.mairie lesparre.fr
33241,Lestiac-sur-Garonne,LESTIAC SUR GARONNE                   ,,333,3,,3317,17,Cadillac,,,,,,,1 CHEMIN DE L'EGLISE,,33550,LESTIAC SUR GARONNE,Monsieur,MORENO,Guy,0556723234,0556721752,mairie lestiac@wanadoo.fr,www.lestiac.com
33242,Les Lèves-et-Thoumeyragues,LES LEVES ET THOUMEYRAGUES            ,,335,5,,3341,41,Sainte-Foy-la-Grande,,,,,,,HOTEL DE VILLE,,33220,LES LEVES ET THOUMEYRAGUES,Monsieur,BASSET,Jean-Michel,0557412115,0557412088,mairie.leslevesetthoumeyragues@wanadoo.fr,
33243,Libourne,LIBOURNE                              ,,335,5,,3330,30,Libourne,,,,,,,42 PLACE ABEL SURCHAMP,BP 200,33505,LIBOURNE CEDEX,Monsieur,BUISSON,Philippe,0557553333,0557553376,contact@mairie libourne.fr,www.ville libourne.com
33244,Lignan-de-Bazas,LIGNAN DE BAZAS                       ,,333,3,,3304,04,Bazas,,,,,,,5 BIS LE BOURG SUD,,33430,LIGNAN DE BAZAS,Monsieur,DUBERNET,Olivier,0556250231,0556250231,mairiedelignandebazas@wanadoo.fr,
33245,Lignan-de-Bordeaux,LIGNAN DE BORDEAUX                    ,,332,2,,3323,23,Créon,,,,,,,43 ROUTE DE L'ENTRE DEUX MERS,,33360,LIGNAN DE BORDEAUX,Madame,GUIMON,Françoise,0556212359,0556212286,mairie.lignan.bordeaux@wanadoo.fr,
33246,Ligueux,LIGUEUX                               ,,335,5,,3341,41,Sainte-Foy-la-Grande,,,,,,,LE BOURG,,33220,LIGUEUX,Monsieur,BERTIN,Christian,0557412101,0557412423,mairie ligueux@orange.fr,
33247,Listrac-de-Durèze,LISTRAC DE DUREZE                     ,,333,3,,3334,34,Pellegrue,,,,,,,7 LE BOURG,,33790,LISTRAC DE DUREZE,Monsieur,FAJOL,Jean-Pierre,0556613621,0556613877,listrac de dureze@wanadoo.fr,
33248,Listrac-Médoc,LISTRAC MEDOC                         ,,334,4,,3320,20,Castelnau-de-Médoc,,,,,,,23 GRANDE RUE,,33480,LISTRAC MEDOC,Monsieur,PRIOLLAUD,Michel,0556580316,0556580655,mlistrac@wanadoo.fr,www.mairie listrac medoc.com
33249,Lormont,LORMONT                               ,,332,2,,3360,60,Lormont,,,,,,,RUE ANDRE DUPIN,BP 1,33305,LORMONT CEDEX,Monsieur,TOUZEAU,Jean,0603686817,0557776328,mairie@ville lormont.fr,www.ville lormont.fr
33250,Loubens,LOUBENS                               ,,333,3,,3338,38,Réole (La),,,,,,,8 LA GUITARE,,33190,LOUBENS,Madame,SAINT-MARC,Sylvette,0556714236,0556713494,loubens@wanadoo.fr,
33251,Louchats,LOUCHATS                              ,,333,3,,3345,45,Saint-Symphorien,,,,,,,1 PLACE DU SOUVENIR,,33125,LOUCHATS,Monsieur,CARREYRE,Philippe,0556885142,0556885692,mairie louchats@orange.fr,
33252,Loupes,LOUPES                                ,,332,2,,3323,23,Créon,,,,,,,19 ROUTE DE CREON,,33370,LOUPES,Monsieur,BENQUET,Fabrice,0556219817,0556683479,mairie.loupes@orange.fr,
33253,Loupiac,LOUPIAC                               ,,333,3,,3317,17,Cadillac,,,,,,,58 BERTHOUMIEU,,33410,LOUPIAC,Monsieur,CHOLLON,Lionel,0556629962,0556629852,mairie loupiac@wanadoo.fr,
33254,Loupiac-de-la-Réole,LOUPIAC DE LA REOLE                   ,,333,3,,3338,38,Réole (La),,,,,,,1 LE BOURG,,33190,LOUPIAC DE LA REOLE,Monsieur,LATRILLE,Michel,0556610816,0556712322,mairie de loupiac de la reole@wanadoo.fr,
33255,Lucmau,LUCMAU                                ,,333,3,,3350,50,Villandraut,,,,,,,HOTEL DE VILLE,6 LE BOURG,33840,LUCMAU,Madame,BANQUET-RENARD,Maryse,0556652265,0556652676,mairie.lucmau@wanadoo.fr,
33256,Ludon-Médoc,LUDON MEDOC                           ,,332,2,,3306,06,Blanquefort,,,,,,,1 RUE DE LA MAIRIE,BP N° 2,33290,LUDON MEDOC,Monsieur,FORTER,Joseph,0557884409,0557885480,info@mairie ludon medoc.fr,http://www.mairie ludon medoc.fr
33257,Lugaignac,LUGAIGNAC                             ,,335,5,,3316,16,Branne,,,,,,,LIEU DIT CANOYE,,33420,LUGAIGNAC,Monsieur,DELFAUT,Jean-Claude,0557845342,0557749695,mairie.lugaignac@wanadoo.fr,
33258,Lugasson,LUGASSON                              ,,333,3,,3348,48,Targon,,,,,,,HOTEL DE VILLE,,33760,LUGASSON,Monsieur,BRUN,Michel,0556239678,0556239678,mairie.lugasson@orange.fr,
33259,Lugon-et-l'Île-du-Carnay,LUGON ET L ILE DU CARNAY              ,,335,5,,3324,24,Fronsac,,,,,,,1 PLACE JEAN MOULIN,,33240,LUGON ET L'ILE DU CARNEY,Monsieur,FROUIN,Michel,0557844153,0516440453,mairiedelugon@wanadoo.fr,
33260,Lugos,LUGOS                                 ,,336,6,,3305,05,Belin-Béliet,,,,,,,2 RUE DE LA MAIRIE,,33830,LUGOS,Monsieur,GAUTHIER,François,0557719526,0557719452,commune.lugos@wanadoo.fr,
33261,Lussac,LUSSAC                                ,,335,5,,3331,31,Lussac,,,,,,,3 PLACE DE LA REPUBLIQUE,,33570,LUSSAC,Madame,CRUZEL,Martine,0557746023,0557745390,lussac mairie@wanadoo.fr,
33262,Macau,MACAU                                 ,,332,2,,3306,06,Blanquefort,,,,,,,1 PLACE DE LA REPUBLIQUE,,33460,MACAU,Madame,COLMONT-DIGNEAU,Chrystel,0557884211,0557880755,mairie@ville macau.fr,
33263,Madirac,MADIRAC                               ,,332,2,,3323,23,Créon,,,,,,,LE BOURG,,33670,MADIRAC,Madame,BOUTANT,Michèle,0556237132,0556237132,mairie.madirac@wanadoo.fr,
33264,Maransin,MARANSIN                              ,,335,5,,3326,26,Guîtres,,,,,,,38 LE BOURG,,33230,MARANSIN,Monsieur,SEYNAT,James,0557494115,0557690533,mairie.maransin@wanadoo.fr,
33266,Marcenais,MARCENAIS                             ,,331,1,,3344,44,Saint-Savin,,,,,,,10 LE BOURG,,33620,MARCENAIS,Monsieur,CATHERINAUD,Jean-Pierre,0557687014,0557680454,marcenais.mairie@wanadoo.fr,
33267,Marcillac,MARCILLAC                             ,,331,1,,3340,40,Saint-Ciers-sur-Gironde,,,,,,,HOTEL DE VILLE,,33860,MARCILLAC,Monsieur,LABRIEUX,Philippe,0557324103,0557324854,direction@marcillac33.fr,http://www.marcillac33.fr
33268,Margaux,MARGAUX                               ,,334,4,,3320,20,Castelnau-de-Médoc,,,,,,,14 RUE DE LA TREMOILLE,,33460,MARGAUX,Madame,DOTTAIN,Jacqueline,0557887136,0557887626,mairie de margaux@wanadoo.fr,
33269,Margueron,MARGUERON                             ,,335,5,,3341,41,Sainte-Foy-la-Grande,,,,,,,LA PUQUETTE,,33220,MARGUERON,Monsieur,ALLEGRET,Jean,0557412300,0557413855,mairie de margueron@wanadoo.fr,
33270,Marimbault,MARIMBAULT                            ,,333,3,,3304,04,Bazas,,,,,,,14 LE BOURG,,33430,MARIMBAULT,Monsieur,STURMA,Francis,0556250887,0556250887,mairie.marimbault@wanadoo.fr,
33271,Marions,MARIONS                               ,,333,3,,3325,25,Grignols,,,,,,,LE BOURG,,33690,MARIONS,Monsieur,LARREY,Gilles,0556255700,0556255700,mairie.marions@orange.fr,
33272,Marsas,MARSAS                                ,,331,1,,3344,44,Saint-Savin,,,,,,,2 RUE DE LA FONTAINE,,33620,MARSAS,Madame,MISIAK,Brigitte,0557687116,0557687969,mairie de marsas@wanadoo.fr,
33273,Martignas-sur-Jalle,MARTIGNAS SUR JALLE                   ,,332,2,,3361,61,Mérignac  2e  Canton,,,,,,,PLACE CHARLES DE GAULLE,BP 12,33127,MARTIGNAS SUR JALLE,Monsieur,VERNEJOUL,Michel,0557970050,0557970056,contact@martignas.org,
33274,Martillac,MARTILLAC                             ,,332,2,,3327,27,Brède (La),,,,,,,14 AVENUE CHARLES DE GAULLE,,33650,MARTILLAC,Monsieur,CLAVERIE,Jean,0556727120,0556726578,secretariat@mairie martillac.fr,www.martillac.fr
33275,Martres,MARTRES                               ,,333,3,,3348,48,Targon,,,,,,,LE BOURG,,33760,MARTRES,Madame,RAYNE,Jeanne,0556715316,0556715316,commune de martres@orange.fr,
33276,Masseilles,MASSEILLES                            ,,333,3,,3325,25,Grignols,,,,,,,12 LE BOURG,,33690,MASSEILLES,Madame,LAPEYRE,Madeleine,0556255705,0556255705,mairie.masseilles@orange.fr,
33277,Massugas,MASSUGAS                              ,,333,3,,3334,34,Pellegrue,,,,,,,25 LE BOURG,,33790,MASSUGAS,Madame,LACHAIZE,Yolande,0556613388,0556613821,mairie massugas@wanadoo.fr,
33278,Mauriac,MAURIAC                               ,,333,3,,3347,47,Sauveterre-de-Guyenne,,,,,,,LE BOURG,,33540,MAURIAC,Monsieur,VIAUD,Jean-Marie,0556715252,0556715218,mauriac@wanadoo.fr,
33279,Mazères,MAZERES                               ,,333,3,,3328,28,Langon,,,,,,,7 LE BOURG,,33210,MAZERES,Monsieur,ARMAND,Michel,0556761406,0556761406,mairie mazeres@wanadoo.fr,www.mazeres.fr
33280,Mazion,MAZION                                ,,331,1,,3307,07,Blaye,,,,,,,LE BOURG,,33390,MAZION,Madame,CHASSELOUP,Maryse,0557421012,0557421012,mairie de mazion@orange.fr,
33281,Mérignac,MERIGNAC                              ,,332,2,,3398,98,Mérignac,,,,,,,60 AVENUE DU MAL DE LATTRE DE TASSIGNY,,33705,MERIGNAC CEDEX,Monsieur,SAINTE-MARIE,Michel,0556556610,0556556601,cabinet@merignac.com,http://www.merignac.com
33282,Mérignas,MERIGNAS                              ,,333,3,,3347,47,Sauveterre-de-Guyenne,,,,,,,LE BOURG,,33350,MERIGNAS,Monsieur,CIRA,Gilles,0557841188,0557841188,mairie.merignas@wanadoo.fr,
33283,Mesterrieux,MESTERRIEUX                           ,,333,3,,3332,32,Monségur,,,,,,,LES GRANDS CHAMPS,,33540,MESTERRIEUX,Monsieur,DIDIER,Alain,0556714944,0556714944,mairie.de.mesterrieux@wanadoo.fr,
33284,Mios,MIOS                                  ,,336,6,,3302,02,Audenge,,,,,,,PLACE DU 11 NOVEMBRE,,33380,MIOS,Monsieur,CAZIS,François,0556266621,0556264169,mairie@villemios.fr,
33285,Mombrier,MOMBRIER                              ,,331,1,,3315,15,Bourg,,,,,,,LE BOURG,,33710,MOMBRIER,Madame,GUINAUDIE,Valérie,0557643936,0557642020,commune.mombrier@wanadoo.fr,
33360,La Roquille,LA ROQUILLE                           ,,335,5,,3341,41,Sainte-Foy-la-Grande,,,,,,,HOTEL DE VILLE,,33220,LA ROQUILLE,Monsieur,ULMANN,David,0557412178,0557412178,mairie.la roquille@wanadoo.fr,
33361,Ruch,RUCH                                  ,,333,3,,3347,47,Sauveterre-de-Guyenne,,,,,,,14 RUE TURRIER,,33350,RUCH,Monsieur,COMBRET,Jean-Claude,0557405436,0557405436,mairie.de.ruch@wanadoo.fr,
33362,Sablons,SABLONS                               ,,335,5,,3326,26,Guîtres,,,,,,,HOTEL DE VILLE,43 LE BOURG,33910,SABLONS,Monsieur,ABANADES,Jean-Claude,0557560282,0557560281,mairie.sablons@wanadoo.fr,
33363,Sadirac,SADIRAC                               ,,332,2,,3323,23,Créon,,,,,,,HOTEL DE VILLE,,33670,SADIRAC,Monsieur,VERDIER,Jacky,0556306229,0556305088,infomairie@sadirac.com,
33364,Saillans,SAILLANS                              ,,335,5,,3324,24,Fronsac,,,,,,,HOTEL DE VILLE,CHAMP DE VILLARD,33141,SAILLANS,Madame,TILLET FAURIE,Martine,0557843210,0557743814,mairie de saillans@bbox.fr,www.mairiedesaillans.com
33365,Saint-Aignan,ST AIGNAN                             ,,335,5,,3324,24,Fronsac,,,,,,,HOTEL DE VILLE,1 SIGNAT,33126,SAINT AIGNAN,Monsieur,YAUNET,Jean-Bernard,0557249858,0557249074,mairie.de st aignan@wanadoo.fr,
