TYPE,THEMES_DU_SITE,CATEGORIE,NOM_DU_SITE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABELS,LONGITUDE,LATITUDE
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Saturnin de Bégadan,,,33340,BEGADAN,+33 5 56 41 50 15,,,-0.8932739,45.356377
Site et monument historiques,Château,Non Classé;Sites et monuments historiques inscrits,Château Reynon,21 route de Cardan,,33410,BEGUEY,+33 5 56 62 96 51,www.denisdubourdieu.com,,-0.3226375,44.650032
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre de Mons,Mons,,33830,BELIN-BELIET,+33 5 56 88 00 06,www.belin-beliet.fr,,-0.809766,44.469044
Site et monument historiques,Fontaine,Sites et monuments historiques inscrits,Fontaine Saint-Clair,Mons,,33830,BELIN-BELIET,+33 5 56 88 00 06,www.belin-beliet.fr,,-0.853776,44.49588
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Jacques de Bellebat,,,33760,BELLEBAT,+33 5 56 23 96 33,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Eutrope de Bellefond,,,33760,BELLEFOND,+33 5 56 23 94 79,,,-0.586586,45.08703
Site et monument historiques,Mégalithe,Sites et monuments historiques classés,Dolmens Le Sabatey,,,33760,BELLEFOND,+33 5 56 23 94 79,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Notre-Dame de Bernos,,,33430,BERNOS-BEAULAC,+33 5 56 25 41 42,,,-0.258759,44.379585
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Laurent de Birac,,,33430,BIRAC,+33 5 56 25 94 11,,,-0.137061,44.41718
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Saturnin de Blaignac,,,33190,BLAIGNAC,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Ruines et vestiges,Sites et monuments historiques classés,Forteresse médiévale de Blanquefort,Lieu dit Duras,,33290,BLANQUEFORT,+33 5 56 57 19 42,www.gahble.org,,-0.63004,44.90118
Site et monument historiques,Abbaye,Sites et monuments historiques classés,Abbaye Saint-Nicolas de Blasimon,,,33540,BLASIMON,+33 5 56 71 59 62;+33 5 56 71 52 12,www.entredeuxmers.com,,-0.0768899,44.750256
Site et monument historiques,Moulin,Sites et monuments historiques classés,Moulin à eau fortifié de Labarthe,,,33540,BLASIMON,+33 5 56 71 59 62;+33 5 56 71 52 12,www.entredeuxmers.com,,-0.0670337,44.76165
Site et monument historiques,Citadelle;Château fort;Château;Ensemble fortifié et remparts,Sites et monuments historiques inscrits;Patrimoine mondial UNESCO;Sites et monuments historiques classés,Citadelle de Blaye, patrimoine mondial de l'UNESCO,,,33390,BLAYE,+33 5 57 42 12 09,www.tourisme-blaye.com,,-0.6654882,45.127712
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Village ancien de Blaye,,,33390,BLAYE,+33 5 57 42 12 09,www.tourisme-blaye.com,,-0.663557,45.12617
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Paroissiale Saint Vincent de Blésignac,,,33670,BLESIGNAC,+33 5 56 23 47 87;+33 5 56 23 23 00,www.tourisme-creonnais.fr,,-0.258522,44.77574
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château Rayne-Vigneau,,,33210,BOMMES,+33 5 56 63 68 00,www.sauternais-graves-langon.com,,-0.3570709,44.54671
Site et monument historiques,Cathédrale,Sites et monuments historiques classés;Patrimoine mondial UNESCO,Cathédrale Saint-André,Place Pey Berland,,33000,BORDEAUX,+33 5 56 52 68 10;+33 5 56 00 66 00,www.bordeaux-tourisme.com,,-0.577706,44.837997
Site et monument historiques,Chapelle,Sites et monuments historiques classés,Eglise Notre-Dame de Bordeaux,Place du Chapelet,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,,-0.57602,44.842636
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Pierre de Bordeaux,Place Saint-Pierre,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,,-0.570674,44.84003
Site et monument historiques,Eglise,Sites et monuments historiques classés;Patrimoine mondial UNESCO,Flèche Saint-Michel,Place Canteloup,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,Famille Plus,-0.565757,44.833855
Site et monument historiques,Ensemble fortifié et remparts,Sites et monuments historiques classés,Grosse Cloche,Rue Saint-James,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,,-0.571416,44.835983
Site et monument historiques,Ensemble fortifié et remparts,Sites et monuments historiques classés,Porte Cailhau,Place du Palais,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,Famille Plus,-0.569444,44.83834
Site et monument historiques,Fontaine,Sites et monuments historiques classés,Monument aux Girondins,Esplanade des Quinconces,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,,-0.57598,44.84542
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques classés,Grand Théâtre de Bordeaux,Place de la Comédie,,33000,BORDEAUX,+33 5 56 00 85 95,www.opera-bordeaux.com,Famille Plus,-0.5746,44.842506
Site et monument historiques,Ruines et vestiges,Sites et monuments historiques classés,Palais Gallien,Rue du Docteur Albert Barraud,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,Famille Plus,-0.584782,44.84623
Site et monument historiques,Site archéologique;Eglise,Sites et monuments historiques classés;Patrimoine mondial UNESCO,Site paléo-chrétien et basilique Saint-Seurin,Place des Martyrs de la Résistance,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,Famille Plus,-0.584716,44.84247
Site et monument historiques,Tour,Sites et monuments historiques classés,Tour Pey-Berland,Place Pey-Berland,,33000,BORDEAUX,+33 5 56 81 26 25,www.pey-berland.monuments-nationaux.fr,,-0.577706,44.837997
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Allées de Tourny,,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,,-0.589447,44.838806
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Esplanade des Quinconces,,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,,-0.589447,44.838806
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Place de la Bourse,,,33000,BORDEAUX,+33 5 56 00 66 00,www.bordeaux-tourisme.com,,-0.589447,44.838806
Site et monument historiques,Château;Citadelle;Halle;Lavoir;Maison et bâtiment;Fontaine;Ville, village et quartier,Sites et monuments historiques inscrits,Village ancien de Bourg,,,33710,BOURG,+33 5 57 68 31 76,www.bourg-en-gironde.fr,,-0.5600879,45.039734
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Château de Budos,,,33720,BUDOS,+33 5 56 78 47 72,www.otmontesquieu.com,,-0.381698,44.53817
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Romain de Budos,Place du Bourg,,33720,BUDOS,+33 5 56 62 51 59,,,-0.384988,44.53363
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château de Cadaujac,,,33140,CADAUJAC,+33 5 56 78 47 72,www.tourisme-montesquieu.com,,-0.5295879,44.755836
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château Malleret,1104 chemin de Malleret,,33140,CADAUJAC,+33 6 85 85 88 67,www.mairie-cadaujac.fr/cadaujac/patrimoine/les-chateaux.html ,,-0.51462,44.76282
Site et monument historiques,Bastide,Sites et monuments historiques classés,Bastide de Cadillac,,,33410,CADILLAC,+33 5 56 62 12 92,www.cadillac-tourisme.com,,-0.3194129,44.637394
Site et monument historiques,Chapelle,Sites et monuments historiques classés,Chapelle funéraire des Ducs d'Epernon,,,33410,CADILLAC,+33 5 56 62 12 92,www.cadillac-tourisme.com,,-0.276075,44.6385
Site et monument historiques,Château,Sites et monuments historiques classés,Château de Cadillac,Place de la Libération,,33410,CADILLAC,+33 5 56 62 69 58;+33 5 56 62 60 47,www.cadillac.monuments-nationaux.fr,,-0.3194129,44.637394
Site et monument historiques,Collégiale,Sites et monuments historiques classés,Eglise Saint-Blaise et Saint-Martin,,,33410,CADILLAC,+33 5 56 62 12 92,www.cadillac-tourisme.com,,-0.276075,44.6385
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint Blaise - Saint Martin,,,33410,CADILLAC,+33 5 56 62 12 92,www.cadillac-tourisme.com,,-0.276075,44.6385
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques inscrits,Hôpital Sainte-Marguerite,89 rue Cazeaux-Cazalet,,33410,CADILLAC,+33 5 56 76 54 54,,,-0.318445,44.63532
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Pierre de Camiran,,,33190,CAMIRAN,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Saturnin de Cardan,,,33410,CARDAN,+33 5 56 76 94 08,,,-0.276075,44.6385
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Portail de l'église Saint-Saturnin,,,33410,CARDAN,+33 5 56 62 12 92,www.cadillac-tourisme.com,,-0.276075,44.6385
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Pierre de Cars,,,33390,CARS,+33 5 57 42 15 10,,,-0.6202162,45.12955
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Romain de Cartelègue,,,33390,CARTELEGUE,+33 6 45 46 56 95,www.cartelegue.fr/patrimoine.html,,-0.5799782,45.18516
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Village ancien de Castelmoron d'Albret,,,33540,CASTELMORON-D'ALBRET,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.0109102,44.679768
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Notre-Dame de Castelviel,,,33540,CASTELVIEL,+33 5 56 71 53 45;+33 5 56 61 82 73,www.entredeuxmers.com,,-0.1539587,44.66717
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château du Hamel,,,33210,CASTETS-EN-DORTHE,+33 5 56 63 68 00,www.sauternais-graves-langon.com,,-0.156273,44.56357
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Romain de Castets-en-Dorthe,,,33210,CASTETS-EN-DORTHE,+33 5 56 63 68 00,www.sauternais-graves-langon.com,,-0.131265,44.557446
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Martin de Mourens,,,33410,MOURENS,+33 5 56 71 53 45,www.entredeuxmers.com,,-0.209849,44.648705
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Jean-Baptiste d'Origne,,,33113,ORIGNE,+33 5 56 25 74 85,,,-0.491023,44.409096
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Hilaire de Paillet,,,33550,PAILLET,+33 5 56 72 19 34,,,-0.368153,44.717045
Site et monument historiques,Bastide,Sites et monuments historiques inscrits,Bastide de Pellegrue,,,33790,PELLEGRUE,+33 5 56 61 37 80,www.entredeuxmers.com,,0.0754035,44.743427
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château du Puch de Gensac,,,33790,PELLEGRUE,+33 6 81 55 77 36,www.entredeuxmers.com,,0.052464,44.75237
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-André de Pellegrue,,,33790,PELLEGRUE,+33 5 56 61 37 80;+33 5 56 61 30 21,www.entredeuxmers.com,,0.076562,44.74256
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques inscrits;ZPPAUP,Cité Frugès - Le Corbusier,Maison Municipale,4 rue Le Corbusier,33600,PESSAC,+33 5 56 36 56 46,www.pessac.fr/culture/tourisme,,-0.647615,44.799496
Site et monument historiques,Moulin,Sites et monuments historiques inscrits,Moulin à eau de Noès,Avenue de Noès,,33600,PESSAC,+33 5 57 93 65 20,www.pessac.fr,,-0.6454645,44.81233
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Martin de Peujard,,,33240,PEUJARD,+33 5 57 43 64 80,www.cdc-cubzaguais.fr,,-0.441159,45.03509
Site et monument historiques,Site archéologique;Ruines et vestiges,Sites et monuments historiques classés,Musée et villas gallo-romaines,Rue Chardonnet,,33390,PLASSAC,+33 5 57 42 84 80,http://plassac.gironde.fr,,-0.6458759,45.102062
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Sainte-Madeleine de Pleine-Selve,,,33820,PLEINE-SELVE,+33 5 57 32 63 30;+33 5 57 32 88 88,www.ot-estuaire.fr,,-0.649479,45.273464
Site et monument historiques,Château,Sites et monuments historiques classés,Château et Parc Chavat,Rue du Port,,33720,PODENSAC,+33 5 56 27 17 54,http://podensac.fr,,-0.35754,44.654427
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Vincent de Podensac,Place Gérard Busset,,33720,PODENSAC,+33 5 56 27 17 54,http://podensac.fr,,-0.352842,44.65108
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques classés,Château d'eau Le Corbusier à Podensac,Rue Pierre Vincent,,33720,PODENSAC,+33 5 56 27 17 54,http://podensac.fr,,-0.359108,44.65536
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Village ancien de Pondaurat,,,33190,PONDAURAT,+33 5 56 61 07 38,,,-0.011378,44.57648
Site et monument historiques,Moulin,Sites et monuments historiques inscrits,Moulin du Barrage,,,33660,PORCHERES,+33 6 30 93 57 60;+33 5 57 49 61 52,,,0.010684,45.0198
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château de Mongenan,16 rue de Mongenan,,33640,PORTETS,+33 5 56 67 18 11,www.chateaudemongenan.com,,-0.430501,44.696053
Site et monument historiques,Château,Sites et monuments historiques classés,Château de Cazeneuve,,,33730,PRECHAC,+33 5 56 25 48 16,www.chateaudecazeneuve.com,,-0.385505,44.42922
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Pierre-ès-Liens de Préchac,,,33730,PRECHAC,+33 5 56 65 28 18,,,-0.385505,44.42922
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Martin d'Insos,Insos,,33730,PRECHAC,+33 5 56 25 31 39;+33 5 56 65 28 18,http://insos.free.fr,,-0.315036,44.364483
Site et monument historiques,Château,Sites et monuments historiques classés,Château de Malle,,,33210,PREIGNAC,+33 5 56 62 36 86,www.chateau-de-malle.fr,,-0.29554,44.565838
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Vincent de Preignac,,,33210,PREIGNAC,+33 5 56 63 27 39,www.preignac.fr,,-0.294917,44.584778
Site et monument historiques,Grotte et gouffre avec art pariétal,Sites et monuments historiques classés,Grotte de Pair-non-Pair,,,33710,PRIGNAC-ET-MARCAMPS,+33 5 57 68 33 40,http://pair-non-pair.monuments-nationaux.fr,,-0.5022214,45.039635
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise de Puisseguin,,,33570,PUISSEGUIN,+33 5 57 24 95 62,www.regiondesaintemilion.com,,-0.083435,44.95231
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Village ancien de Pujols,,,33350,PUJOLS,+33 5 57 40 27 58,www.tourisme-castillonpujols.fr,,-0.047323,44.84318
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Pierre aux Liens de Pujols-sur-Ciron,,,33210,PUJOLS-SUR-CIRON,+33 5 56 76 65 14,www.pujols-sur-ciron.fr,,-0.353308,44.563198
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Hilaire de Puynormand,,,33660,PUYNORMAND,+33 5 57 49 71 25;+33 5 57 69 36 53,www.pays-de-coutras.com,,0.010684,45.0198
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques inscrits,Admirer la Villa Téthys,14 avenue de la Plage,,33115,PYLA-SUR-MER,+33 5 56 54 63 14,wwww.tourisme-latestedebuch.fr,,-1.2032711,44.637695
Site et monument historiques,Château fort;Donjon,Sites et monuments historiques inscrits,Château de Rauzan,12 rue de la Chapelle,,33420,RAUZAN,+33 5 57 84 03 88,www.tourisme-castillonpujols.fr;http://chateaufortderauzan.jimdo.com/,,-0.125914,44.780025
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Hilaire de Rimons,,,33580,RIMONS,+33 5 56 61 82 73,www.entredeuxmers.com,,0.0041212,44.671967
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits;Sites et monuments historiques classés,Cité médiévale de Rions,,,33410,RIONS,+33 5 56 62 12 92,www.cadillac-tourisme.com,,-0.3516087,44.664135
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Louis de Roaillan,,,33210,ROAILLAN,+33 5 56 63 68 00,www.sauternais-graves-langon.com,,-0.282175,44.498245
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Vivien de Romagne,,,33760,ROMAGNE,+33 5 56 23 94 65,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Jean-Baptiste de Roquebrune,,,33580,ROQUEBRUNE,+33 5 56 61 82 73,www.entredeuxmers.com,,0.082404,44.65918
Site et monument historiques,Ruines et vestiges,Sites et monuments historiques classés,Four Médiéval,Place Fouragnan,,33670,SADIRAC,+33 5 56 30 60 03,,,-0.411571,44.781258
Site et monument historiques,Croix,Sites et monuments historiques classés,Croix du Cimetière de Sadirac,,,33670,SADIRAC,+33 5 56 30 62 29  ,www.mairie-sadirac.fr,,-0.411571,44.781258
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint Martin de Sadirac,,,33670,SADIRAC,+33 5 56 30 62 29,,,-0.4078674,44.78281
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Église Saint-Seurin de Saillans,,,33141,SAILLANS,+33 5 57 84 32 42;+33 5 57 84 37 35;+33 5 57 84 86 86,,,-0.277451,44.959316
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Église de Saint-Aignan,,,33126,SAINT-AIGNAN,+33 5 57 51 27 47;+33 5 57 84 86 86,,,-0.298232,44.943867
Site et monument historiques,Château,Sites et monuments historiques classés,Château du Bouilh,B.P. 27,,33240,SAINT-ANDRE-DE-CUBZAC,+33 5 57 43 06 59,chateaudubouilh.jimdo.com,,-0.4557073,45.009274
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-André du Nom de Dieu,,,33240,SAINT-ANDRE-DE-CUBZAC,+33 5 57 45 10 10,www.saint-andre-de-cubzac.fr,,-0.4480898,44.992188
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Christoly-de-Blaye,,,33920,SAINT-CHRISTOLY-DE-BLAYE,+33 5 57 42 50 40,,,-0.508183,45.129955
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Christoly-de-Médoc,,,33340,SAINT-CHRISTOLY-MEDOC,+33 5 56 41 53 07;+33 5 56 41 38 17,,,-0.8246642,45.355904
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Cyr de Saint-Ciers-d'Abzac,,,33910,SAINT-CIERS-D'ABZAC,+33 5 57 69 11 48;+33 5 57 49 40 69,http://paysdeguitres33.jimdo.com,,-0.2762413,45.030937
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Denis,,,33910,SAINT-DENIS-DE-PILE,+33 5 57 55 44 20,www.mairie-saintdenisdepile.fr,,-0.2055467,44.99389
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Sainte-Croix de Sainte-Croix-du-Mont,,,33410,SAINTE-CROIX-DU-MONT,+33 5 56 62 01 39,www.sainte-croix-du-mont.fr,,-0.2809023,44.593357
Site et monument historiques,Bastide,Sites et monuments historiques inscrits,Bastide de Sainte-Foy-la-Grande,,,33220,SAINTE-FOY-LA-GRANDE,+33 5 57 46 03 00,www.tourisme-dordogne-paysfoyen.com,Station Verte de Vacances,0.21354675,44.838345
Site et monument historiques,Cloître,Sites et monuments historiques classés,Cloître de l'église collégiale,Place Pierre Meyrat,,33330,SAINT-EMILION,+33 5 57 55 28 28,www.saint-emilion-tourisme.com,,-0.1570457,44.89382
Site et monument historiques,Donjon,Sites et monuments historiques classés,Tour du château du Roy,,,33330,SAINT-EMILION,+33 5 57 55 28 28,www.saint-emilion-tourisme.com,,-0.155729,44.894386
Site et monument historiques,Eglise,Sites et monuments historiques classés,Clocher de l'église monolithe,Place des Créneaux,,33330,SAINT-EMILION,+33 5 57 55 28 28,www.saint-emilion-tourisme.com,,-0.155729,44.894386
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise collégiale de Saint-Emilion,Place Pierre Meyrat,,33330,SAINT-EMILION,+33 5 57 55 28 28,www.saint-emilion-tourisme.com,,-0.1570457,44.89382
Site et monument historiques,Ville, village et quartier,Patrimoine mondial UNESCO;Sites et monuments historiques classés,Cité médiévale de Saint-Emilion,,,33330,SAINT-EMILION,+33 5 57 55 28 28,www.saint-emilion-tourisme.com,,-0.142355,44.881958
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Alexis de Sainte-Terre,,,33350,SAINTE-TERRE,+33 5 57 47 14 34;+33 5 57 47 16 23,www.jardindelalamproie.fr,,-0.1128029,44.829044
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Exupéry,,,33190,SAINT-EXUPERY,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château des Seigneurs de Pommiers,,,33540,SAINT-FELIX-DE-FONCAUDE,+33 5 56 71 65 16,,,-0.1105743,44.653366
Site et monument historiques,Abbaye,Sites et monuments historiques inscrits;Sites et monuments historiques classés,Abbaye de Saint-Ferme,,,33580,SAINT-FERME,+33 5 56 61 69 92;+33 5 56 61 62 10,http://abbayesaintferme.jimdo.com/,,0.0583474,44.693554
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Église de Saint-Genès de Fronsac,,,33240,SAINT-GENES-DE-FRONSAC,+33 5 57 84 86 86,,,-0.356537,45.02494
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Notre Dame Tout Espoir de Saint Genes de Lombaud,,,33670,SAINT-GENES-DE-LOMBAUD,+33 5 56 23 00 94,,,-0.3694152,44.751854
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise templière de Saint-Genis du Bois,,,33760,SAINT-GENIS-DU-BOIS,+33 5 56 71 86 79;+33 5 56 23 63 69,www.targon-tourisme.net,,-0.586586,45.08703
Site et monument historiques,Site archéologique,Sites et monuments historiques inscrits,Site archéologique de Brion,,,33340,SAINT-GERMAIN-D'ESTEUIL,+33 5 56 09 02 07;+33 5 56 09 03 42,http://pagesperso-orange.fr/sitearcheologiquedebrion,,-0.894869,45.32131
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Gervais,,,33240,SAINT-GERVAIS,+33 5 57 43 02 06,www.mairie-stgervais.com,,-0.465433,45.018135
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Hilaire-de-la-Noaille,,,33190,SAINT-HILAIRE-DE-LA-NOAILLE,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise de Magrigne,,,33240,SAINT-LAURENT-D'ARCE,+33 6 08 62 44 01,www.cdc-cubzaguais.fr,,-0.480059,45.0537
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Laurent de Saint-Laurent d'Arce,,,33240,SAINT-LAURENT-D'ARCE,+33 5 57 43 01 61,,,-0.4701697,45.033676
Site et monument historiques,Eglise,Sites et monuments historiques classés,Notre Dame de Benon,Benon,,33112,SAINT-LAURENT-MEDOC,+33 5 56 59 42 72,,,-0.8457326,45.115177
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint Laurent Médoc,,,33112,SAINT-LAURENT-MEDOC,+33 56 73 32 70,,,-0.8216786,45.15063
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise de Saint-Léger-de-Balson,,,33125,SAINT-LEGER-DE-BALSON,+33 5 56 25 70 53,,,-0.466557,44.432724
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint Léon,,,33670,SAINT-LEON,+33 5 56 23 49 29;+33 5 56 23 48 02,,,-0.3694152,44.751854
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Sauveur de Saint-Macaire,,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,www.entredeuxmers.com,,-0.227599,44.565895
Site et monument historiques,Ensemble fortifié et remparts,Sites et monuments historiques classés,Porte du Thuron,,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,,,-0.2275989,44.565895
Site et monument historiques,Ensemble fortifié et remparts,Sites et monuments historiques inscrits,Les Remparts de Saint-Macaire,,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,,,-0.2254986,44.563675
Site et monument historiques,Ensemble fortifié et remparts,Sites et monuments historiques inscrits,Porte de Benauge,,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,www.saintmacaire.fr,,-0.2270758,44.565094
Site et monument historiques,Ensemble fortifié et remparts,Sites et monuments historiques inscrits,Porte Rendesse,,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,,,-0.2275989,44.565895
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques classés,Maison de Tardes,,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,,,-0.2275989,44.565895
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques classés,Maison Messidan,15 rue Amélie Courbet,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,,,-0.2275989,44.565895
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques classés,Relais de poste Henri IV,Place du Mercadiou,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,,,-0.2246752,44.56515
Site et monument historiques,Monastère,Sites et monuments historiques inscrits,Prieuré Saint-Sauveur,,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,,,-0.2275989,44.565895
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Cité médiévale de Saint-Macaire,,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,www.entredeuxmers.com;www.saintmacaire.fr,,-0.2275989,44.565895
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Place du Mercadiou,,,33490,SAINT-MACAIRE,+33 5 56 63 32 14,,,-0.2275989,44.565895
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Maixant,,,33490,SAINT-MAIXANT,+33 5 56 63 32 14,www.entredeuxmers.com,,-0.2650237,44.57705
Site et monument historiques,Maison et bâtiment,Sites et monuments historiques inscrits;Sites et monuments historiques classés,Centre François Mauriac de Malagar,,,33490,SAINT-MAIXANT,+33 5 57 98 17 17,http://malagar.aquitaine.fr,Maisons des Illustres,-0.2379226,44.57873
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Martial de Saint-Martial,,,33490,SAINT-MARTIAL,+33 5 56 63 32 14,www.entredeuxmers.com,,-0.1754057,44.637634
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Martin de Saint-Martin-de-Laye,,,33910,SAINT-MARTIN-DE-LAYE,+33 5 57 49 40 44,www.otguitres.fr,,-0.2181148,45.038506
