Sapi_Type,EPN/PAPI,Code,Pays,CDC,Population 1999,Code Insee Commune,Commune,Nom de la structure,Adresse accueil public,CP,CEDEX,Tel,adresse administrative,Fonction du responsable de la structure,Mél principal (adresse diffusable au près du public),Site Web,Fonction du Contact N°1,Grade N°1,Mél du contact N°1 (non diffusé),Tps travail hebdo N°1 (en heures),% tps consacré à accès internet N°1,Age N°1,Contrat N°1,Niveau formation N°1,Domaine formation N°1,Form. Qualif. N°1,Nom Contact N°2,Fonction Contact N°2,Grade N°2,Mél contact N°2,Tps hebdo N°2,% tps internet N°2,Age N°2,Contrat N°2,Niveau formation N°2,Domaine formation N°2,Form. Qualif. N°2, ,Nom Contact N°3,Fonction Contact N°3,Grade N°3,Mél contact N°3,Tps hebdo N°3,% tps internet N°3,Age N°3,Contrat N°3,Niveau formation N°3,Domaine formation N°3,Form. Qualif. N°3,,Horaires détaillés d'ouverture de l'accès internet,internet réservé inscrits ou adhérents,Coût de l'adhésion ou inscription annuelle,Accès libre à Internet Gratuit ou payant ?,Tarif horaire internet,HypNbH,Nbre heures ouverture hebdo,ouvert Soir,ouvert WE,HypCapa,HypNbPC,Nbre PC,Nbre postes Internet,implantation postes,Nbre professionnels Internet,Effectif total,Nbre bénévoles,Année ouverture SAPI,Nombre d'années SAPI, ,Nbre inscrits SAPI,Nbre visites/an,Nbre visiteurs/jour,Enfants (moins de 11 ans),Juniors (12-17 ans),Adultes (18-60 ans),Seniors (+ de 60 ans), ,Accès Libre,Initiation internet,Conseils équipement,e-administration,création artistique,Messagerie,Chat,Téléchargement,pages web,Animations,OPAC,Sélection sites, ,Emploi,Scolaires,Séniors,Assos,handicap,Touristes,Entreprises,,Type structure portage,Typologie DLL-ADBDP,"Si bibliothèque, le Prêt est informatisé",Labels,Affiliation à des réseaux associatifs régionaux ou nationaux,"Divers : Autres activités, projets ...",Nom personne répondant,Mél. Personne répondant, ,Médiacité 2004,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,Cyber-base,ECM,Point Cyb,Net Public,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,535B,3-Coeur-Entre-Deux-Mers,Coteaux Bordelais,,535,Tresses,BIJ,1 place du marronnier – BP 40,33370,,05 57 34 08 46,,,bijtresses@tresses.org,www.tresses.org,,,carolebulteau@live.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi/mercredi/jeudi : 14h-17h30 vendredi : 10h30-12h30/14h-17h30,,,Gratuit,,17,17,,,17,1,1,1 ou 2,,,1,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,EPN,81A,3-Coeur-Entre-Deux-Mers,Coteaux de Garonne,,81,Cadillac,Mission locale des 2 rives,14 16 route de Branne,33410,,05 57 98 02 98,,,contact@ml2.com,ml2.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi/Mercredi/Vendredi : 8h30-12h30/13h30-17h30 mardi/jeudi : 8h30-12h30/13h30-19h,,,Gratuit,,43,43,,,215,5,5,3 à 5,,1,,,2002,5 ans et +,,,,,,,,,,Oui,Oui,,Oui,,,,,,,,,,Oui,Oui,,,Oui,,,,Associative,,,Point Cyb,,,,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,Point Cyb,Net Public,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,140A,3-Coeur-Entre-Deux-Mers,Créonnais,,140,Créon,Solidarité en Créonnais - Point Rencontre Service – BIJ,33 rue Amory Craon,33670,,05 57 34 42 55,,Responsable BIJ,solidarite-en-creonnais@club-internet.fr,,,,bijcreonnais@club-internet.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lundi 14h30.19h, mardi, jeudi, vendredi 10h.12h30 / 14h30.19h, mercredi 8h30.12h30 / 14h30.19h, samedi 10h.12h30./ 14h.16h",,,Gratuit,,38,38,,Ouvert WE,190,5,5,3 à 5,,3,,,,5 ans et +,,,,,,,,,,Oui,,,Oui,,,,,,,,,,Oui,Oui,Oui,,,,,,Associative,,,,,,,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,28A,3-Coeur-Entre-Deux-Mers,Créonnais,,28,Baron,Mairie,16 le Bourg,33750,,05 57 24 17 28,,,ptlect.@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lundi : 16-17h, merc : 15-17h, vend : 16h30-18h, sam : 10h30-12h",non,,Gratuit,,6,6,,Ouvert WE,6,1,1,1 ou 2,,0,,4,2007,1 à 2 ans,,,< 120,moins de 10,,Oui,Oui,,,Oui,,,,,,,,,,,Oui,,,Oui,,,,,,,Municipale,,,,,,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,363A,3-Coeur-Entre-Deux-Mers,Créonnais,,363,Sadirac,Bibliothèque municipale,Place de l'Eglise,33670,,05 56 60 61 17,,Bibliothécaire,bibliotheque@sadirac.com,,agent du patrimoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,15,15,,,75,5,5,3 à 5,espace multimédia,1,2,,1999,5 ans et +,,650,,,,,Oui,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Oui,,Oui,Oui,Oui,,,,,,Municipale,B1,Oui,,,,,,,Médias-Cité 2004,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,201A,3-Coeur-Entre-Deux-Mers,Créonnais,,201,Haux,Bibliothèque municipale,,,,,,Resp. Bibliothèque,bibliomedia.haux33@orange.fr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,45,3,3,3 à 5,espace multimédia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,PL,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informatique,EPN,381A,3-Coeur-Entre-Deux-Mers,Portes de l Entre-Deux-Mers,,381,Saint-Caprais-de-Bordeaux,Club Informatique Aprodisc,"Mairie, 4 Av. de Mercade",33880,,05 57 97 94 24,,Président,aprodisc@wanadoo.fr,www.aprodisc.org,Président,,sierra.alexandre@wanadoo.fr,,,35,Bénévole,Bac+2,Technique,,Mohammed Kaya,Vice-président,,mohammed.kaya@wanadoo.fr,,,,Bénévole,,,,,Michèle Constans,Trésorière,,,,,,Bénévole,,,,,Du Mardi au Samedi : 14H-18H,0,38,Gratuit,,20,20,Ouvert soir,Ouvert WE,160,8,8,6 à 10,,,"0,5",9,1987,5 ans et +,,60,,moins de 10,,,Oui,Oui,,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,,,,Oui,Oui,Oui,Oui,,Oui,Oui,,Associative,,,,,,Alexandre SIERRA,,,,,DUI 2007,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,234A,3-Coeur-Entre-Deux-Mers,Portes de l Entre-Deux-Mers,,234,Latresne,Bibliothèque municipale,3 Rue des arpèges,33360,,05.56.20.72.34,,,bibliotheque.latresne@wanadoo.fr,,adjoint administratif détachée à la bibliothèque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,21,21,,,21,1,1,1 ou 2,postes dispersés,,1,,,2 à 5 ans,,608,,,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,Municipale,B2,Oui,,,,,,,,BDP 2007,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,85A,3-Coeur-Entre-Deux-Mers,Portes de l Entre-Deux-Mers,,85,Camblanes-et-Meynac,Bibliothèque municipale,Chemin des Ecoliers,33360,,05 57 97 16 93,,Bibliothécaire,alivreouvert@club-internet.fr,www.camblanes-et-meynac.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,18,18,,,18,1,1,1 ou 2,postes dispersés,1,2,,2001,5 ans et +,,880,250,moins de 10,,,Oui,,,Oui,Oui,,Oui,,Oui,,Oui,,,,,,Oui,Oui,Oui,Oui,,Oui,,,Municipale,B2,Oui,,,,,,,Médias-Cité 2004,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,234B,3-Coeur-Entre-Deux-Mers,Portes de l Entre-Deux-Mers,,234,Latresne,PIJ,Maison du Bourg – 3 Rue des arpèges,33360,,05 56 20 82 23,,Animatrice,pij-portesentredeuxmers@wanadoo.fr,,Animatrice,,,20,"80,00%",41,CDD,Bac+2,Littéraire,Tourisme,,,,,,,,,,,,,,,,,,,,,,,,,"mardi : 9h30-11h30/15h-18h, mercredi : 14h-19h, jeudi : 16h-19h, vendredi : 15h-18h",,,Gratuit,,16,16,,,48,3,3,3 à 5,,1,1,,2004,2 à 5 ans,,80,500,,,,Oui,,,Oui,,,Oui,,Oui,,,,,,Oui,,Oui,Oui,Oui,,Oui,,,,Intercommunale,,,,,,Jeanne Arloing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,33A,3-Coeur-Entre-Deux-Mers,Portes de l Entre-Deux-Mers,703,33,Baurech,Mairie,Bourg,33880,,05 56 21 31 54,,Maire,mairie.baurech@wanadoo.fr,,secrétaire de mairie,,,,occasionnel,,Fpt,,,aucune,,,,,,,,,,,,,,,,,,,,,,,,,lundi : 14h-18h mardi/vendredi : 8h30-12/14h-18h  jeudi  : 8h30-12h/14h-19h,non,,Gratuit,,27,27,,,27,1,1,1 ou 2,,0,,1,,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,Oui,Oui,,,,,,Municipale,,,,,,,,,,,DUI 2007,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,397A,3-Coeur-Entre-Deux-Mers,Secteur de Saint-Loubès,,397,Sainte-Eulalie,Bibliothèque municipale,"Centre Culturel S. Dutruch, 6 Place Franz Liszt",33560,,05 56 38 35 21,,Bibliothécaire,bibliotheque@mairie-ste-eulalie.fr,www.mairie-ste-eulalie.fr,Bibliothécaire,Adjoint du Patrimoine 2ème classe,,35,"0,1",31,FPT,Bac+4,Littéraire,"FPB Médiaquitaine, stages BDP",,,,,,,,,,,,,,,,,,,,,,,,,mardi/jeudi/vendredi : 14h-18h mercredi : 10h-12h/14h-18h30 samedi : 10h-13h (+ initiation aux tic le vendredi 10h-12h sur inscription),1,0 à 10 €,Gratuit,,21,21,,Ouvert WE,63,3,3,3 à 5,espace multimédia,1,1,,,5 ans et +,,,,moins de 10,,Oui,Oui,,,Oui,Oui,Oui,Oui,,Oui,,,,,,,,,Oui,Oui,,,,,,Municipale,B3,Oui,,,,Chabaud Cédric,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
EducPop,PAPI,49B,3-Coeur-Entre-Deux-Mers,Secteur de Saint-Loubès,,49,Beychac-et-Cailleau,ALEJ – Asso. Loisirs Enfance Jeunesse,Bourg de Cailleau,33750,,05 56 72 57 70 ,,Directrice et Coordinatrice CEL,,,,,alaj.dir@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Associative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,397B,3-Coeur-Entre-Deux-Mers,Secteur de Saint-Loubès,,397,Sainte-Eulalie,CCAS,"1, place Charles de Gaulle",33560,,05.57.77.15.85,,,ccas@mairie-ste-eulalie.fr,www.mairie-ste-eulalie.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payant,,15,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,433A,3-Coeur-Entre-Deux-Mers,Secteur de Saint-Loubès,,433,Saint-Loubès,Bibliothèque municipale François Mitterand,32 Chemin de Nice,33450,,05 56 78 98 82,,,bibliotheque-municipale@saint-loubes.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Payant,,8,8,,Ouvert WE,32,4,4,3 à 5,,0,5,,,,,,300,,,,,,,Oui,,,,,,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,483A,3-Coeur-Entre-Deux-Mers,Secteur de Saint-Loubès,,483,Saint-Sulpice-et-Cameyrac,Bibliothèque municipale,"15, av Maucaillou",33450,,05 56 30 23 04,,,Bibliotheque-municipale16@wanadoo.fr,www.saintsulpiceetcameyrac.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merc : 15 à 18h, jeudi : 17 à 19h, sam : 10 à 12h",non,,Gratuit,,7,7,,Ouvert WE,7,1,,1 ou 2,,0,0,6,,5 ans et +,,,,moins de 10,,Oui,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,Municipale,,oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,293A,3-Coeur-Entre-Deux-Mers,Secteur de Saint-Loubès,,293,Montussan,Bibliothèque municipale,23 route de la Cure,33450,,05 56 72 88 42,1 Place Pierre de Brach,Responsable de la bibliothèque,bibliotheque-montussan@wanadoo.fr,,Responsable de la bibliothèque,Adjoint du patrimoine,,26,,,CAE,Bac+3,Histoire,DUT Métiers du livre,,,,,,,,,,,,,,,,,,,,,,,,,Mardi/Jeudi : 14h-18h30  Mercredi : 9h-12h30/14h-18h30 Samedi : 9h-12h,0,0,Gratuit,,23,23,,Ouvert WE,23,1,1,1 ou 2,espace multimédia,,1,,,2 à 5 ans,,110,,moins de 10,,Oui,Oui,,,Oui,,,Oui,,Oui,Oui,,,,,,,Oui,Oui,,,,,,,Municipale,,Oui,,,,Claire Oger,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,49A,3-Coeur-Entre-Deux-Mers,Secteur de Saint-Loubès,,49,Beychac-et-Cailleau,Bibliothèque municipale,Bourg de Cailleau,33750,,05.56.72.47.12,,,biblio.beychac.caillau@wanadoo.fr,www.mairie-beychac-cailleau.fr,Prés association Rebeca,,,,,,,,,,Mme Luce Mathilde,salariée,,,35,39873,,FPT (assistant qualifié),,,"Informatique, internet",,,,,,,,,,,,,,"Mardi : 16h30-18h30, merc : 14-18h30, jeudi : 17 à 18h, samedi : 10 à 12h30",non,,Gratuit,,10,10,,Ouvert WE,30,3,,3 à 5,,1,1,6,,5 ans et +,,,,moins de 10,,Oui,Oui,,,Oui,Oui,,Oui,,Oui,,,,formation informatique,,,,,,,,,,,,Municipale,B2,,,,,,,,,BDP 2007,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,226A,3-Coeur-Entre-Deux-Mers,Vallon de l Artolie,,226,Langoiran,Bibliothèque municipale,"4, Place du docteur Abaut",33550,,05.56.67.66.85,,Adjoint du patrimoine,bibliotheque-langoiran@wanadoo.fr,,,,,35,occasionnel,38,FPT,,,,Laure Meuris,Bénévole,,,variable,,33,,,,,,,,,,,,,,,,,,"mardi, jeudi, vend : 15h30-18, merc : 15-18, samedi 9h30-12",1,,Gratuit,,13,13,,Ouvert WE,13,1,1,1 ou 2,,0,1,7,2002,5 ans et +,,468,,,oui,,Oui,,,Oui,Oui,,Oui,,Oui,Oui,Oui,,,,,,Oui,,Oui,,,Oui,,,Municipale,B2,Oui,,,changement parc informatique en 2009,,,,,BDP 2007,,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,311A,3-Coeur-Entre-Deux-Mers,Vallon de l Artolie,,311,Paillet,Bibliothèque municipale,Route de Targon,33550,,05 56 72 16 23,,responsable municipale,bibliothequedepaillet@wanadoo.fr,blog :http;//bibliothequedepa.canalblog.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,8,8,,,16,2,2,1 ou 2,postes dispersés,,8,,,Moins  1 an,,140,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,Municipale,B3,,,,,,,,,BDP 2007,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,355A,3-Coeur-Entre-Deux-Mers,Vallon de l Artolie,,355,Rions,Bibliothèque municipale,Place de Géres,33410,,09 51 37 93 82,,,bibliorions@free.fr,BLOG   / biblirions.canalblog.com,bibliothécaire bénévole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,9,9,,,9,1,1,1 ou 2,postes dispersés,,1,,,Moins  1 an,,168,,moins de 10,,,,Oui,,,Oui,,,,Oui,,,,Oui,Oui,,,,,,,,,,,Municipale,B3,Oui,,,,,,,,0,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Services publics,EPN,90B,4-Graves et Landes de Cernès,Cestas - Canéjan,,90,Canéjan,Espace mosaïque,Bourg,33610,,05 56 89 96 76,,,,www.canejan.fr/acces-internet.asp,Animateur Multimédia,,p.joly@canejan.fr,35,"60,00%",,CDI contractuel,Bac,Informatique,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi/vendredi : 9h-12h Mercredi : 13h-16h30,adhésion,"7,00 €",Gratuit,,10,10,,,50,5,5,3 à 5,,1,,,2002,5 ans et +,,195,2500,10 à 50,,Oui,,Oui,,Oui,Oui,Oui,Oui,,,,,,,,,,Oui,Oui,Oui,,,Oui,,,Municipale,,,,,,pierre Joly,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,EPN,122A,4-Graves et Landes de Cernès,Cestas - Canéjan,,122,Cestas,Médiathèque municipale,Place du souvenir,33610,,05.57.83.53.11,,Directrice,bm-cestas@wanadoo.fr,http://mediatheque.mairie-cestas.fr/,Animateur,Adjoint du patrimoine,jonathanvilain33@gmail.com,24,"75,00%",36,Contractuel,Bac+2,Animation,DUT Carrières sociales,,,,,,,,,,,,,,,,,,,,,,,,,Lundi au jeudi : 14h-19h Samedi : 9h-12h,adhésion,,Gratuit,,23,23,,Ouvert WE,184,8,8,6 à 10,espace multimédia,1,10,,2003,5 ans et +,,,2260,10 à 50,,Oui,,Oui,,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,,Oui,,,Oui,Oui,Oui,Oui,Oui,Oui,,,Municipale,,Oui,Net Public,,,Jonathan Vilain,,,,,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,90C,4-Graves et Landes de Cernès,Cestas - Canéjan,,90,Canéjan,PIJ,Chemin de la House,33610,,05 56 75 06 32,,Responsable PIJ,spot@canejan.fr,www.canejan.fr,Animatrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi/vendredi : 16h-19h mercredi : 14h-19h Samedi 14-18h,,,Gratuit,,15,15,,Ouvert WE,75,5,5,3 à 5,,,1,,,1 à 2 ans,,,,,,Oui,Oui,,,Oui,,,,,Oui,Oui,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,pierre Joly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,90A,4-Graves et Landes de Cernès,Cestas - Canéjan,,90,Canéjan,Médiathèque municipale,Bourg,33610,,05 56 89 38 07,,,mediatheque@canejan.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payant,,15,,,,60,4,4,3 à 5,,,,,,,,,1,,,,,,,Oui,Oui,Oui,Oui,,,,,,,,,,Oui,Oui,Oui,,,,,,Municipale,,,,,,,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Informatique,PAPI,273B,4-Graves et Landes de Cernès,Hors CDC,,273,Martignas-sur-Jalle,Club micro,École Jean de la Fontaine - Avenue de Verdun,33127,,06 08 99 59 06 ou 05 56 13 88 16,,Président,d.gratias@free.fr,clubmicro.free.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adhésion,55,,,15,,Ouvert soir,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,422A,4-Graves et Landes de Cernès,Hors CDC,,422,Saint-Jean-d'Illac,PIJ – Espace Jeunes,120 ave du Las BP 10,33127,,05  56 21 83 19,,responsable,espacejeunes.illacais@wanadoo.fr,,,,,35,,,FPT,,,,Y,Animatrice,,,35,,,FPT,Bac+2,DUT animation,,,X,,,,35,,,PPT,Bac,"Animation, Sport",BE,,Mardi/mercredi : 8h30-19h Vendredi 13h30-23h Samedi 13h30-19h,,,Gratuit,,36,36,Ouvert soir,Ouvert WE,108,3,3,3 à 5,,3,3,,2000,5 ans et +,,,,10 à 50,,Oui,Oui,,,Oui,Oui,,Oui,,Oui,Oui,Oui,,,,,,Oui,Oui,,,Oui,,,,Municipale,,,,,Jeux en réseau avec ados,Mme Soulié,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,273A,4-Graves et Landes de Cernès,Hors CDC,,273,Martignas-sur-Jalle,CCAS,Place du Gal de Gaulle,33127,,05 57 97 00 51,,,ccas-de-martignas@wanadoo.fr,www.martignas.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,15,,,,75,5,5,3 à 5,,5,,,,5 ans et +,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,,,Municipale,,,,,,,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,213A,4-Graves et Landes de Cernès,Montesquieu,,213,La Brède,BIJ,3 Ave Charles de Gaulle,33650,,05 56 78 43 82,,responsable BIJ,Espace-info-jeunes@wanadoo.fr,www.labrede-montesquieu.com,Responsable BIJ,Rédactrice,,20,"20,00%",30,FPT,DUT,Social,multimédia,,,,,,,,,,,,,,,,,,,,,,,,,mercredi : 14h30-18h  jeudi/vendredi : 14h-17h30,0,,Gratuit,,10,10,,Ouvert WE,20,2,2,1 ou 2,,1,1,,2002,5 ans et +,,40,100,moins de 10,,Oui,Oui,,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,,Oui,,Oui,,Oui,Oui,Oui,,Oui,Oui,Oui,,Municipale,,,,,,Jennifer Dewilde ,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,80A,4-Graves et Landes de Cernès,Montesquieu,,80,Cadaujac,PIJ,Mairie ( Annexe) - 27 rue du Moulin Noir,33140,,05.57.83.82.00,,,pij.cadaujac@wanadoo.fr,http://www.mairie-cadaujac.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lundi 14h-18h Mardi, mercredi, jeudi 9h-12h30 / 13h30-18h Vendredi 9h-12h30 /13h30-16h",,,Gratuit,,35,35,,,35,1,,1 ou 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture,PAPI,238B,4-Graves et Landes de Cernès,Montesquieu,,238,Léognan,Cyberespace - Espace culturel G. Brassens,rue du 19 mars - BP 38,33850,,05 57 96 01 35,,DIRECTRICE,ecgb.leognan@voila.fr,www.mairie-leognan.fr,Animateur – technicien,,,35,"40,00%",34,FPT,,Technique,informatique,,,,,,,,,,,,,,,,,,,,,,,,,Mercredi Vendredi et samedi : 14h-19h,,,Payant,2,15,15,Ouvert soir,Ouvert WE,45,3,3,3 à 5,,1,11,,2001,5 ans et +,,,,moins de 10,,Oui,,,,Oui,,,,,Oui,Oui,Oui,,,,,,Oui,Oui,Oui,,,,,,Municipale,,,,,,M. Iacono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,238A,4-Graves et Landes de Cernès,Montesquieu,,238,Léognan,Bibliotheque municipale Georges Brassens,Rue du 19 mars 1962 - BP 38,33850,,05 57 96 01 33,,Bibliothécaire,bibliotheque@mairie-leognan.fr,www.mairie-leognan.fr,Bibliothécaire,,,35,"1,00%",50,FPT,Bac+2,Littéraire,DUT Métiers du Livre + CAFB,Christine Michelon,,Adjoint administratif,,35,"0,01",50,FPT,Bac,Littéraire,,,,,,,,,,,,,,,Mardi/jeudi :16h-18h mercredi :10h30-12h30/15h-19h Vendredi : 16h-19h samedi :10h30-12h30/15h-18h,1,"4,5 € à 8,5 €",Gratuit,,18,18,,Ouvert WE,18,1,1,1 ou 2,espace multimédia,,2,,2006,2 à 5 ans,,,100,moins de 10,oui,Oui,,,,Oui,,,Oui,,Oui,,,,,,,,,,,,,,,,Municipale,B2,Oui,,,,Sylvie Da Costa,,,,BDP 2007,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,484A,5-Landes de Gascogne,Pays Paroupian,,484,Saint-Symphorien,Bibliothèque municipale,Place de la République,33113,,05 56 25 72 89,,,bibliotheque.stsymphorien@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payant,,15,,,Ouvert WE,105,7,7,6 à 10,,2,,4,,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,Oui,Oui,,,Oui,,,Municipale,,,,,,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,95A,5-Landes de Gascogne,Captieux et Grignols,,95,Captieux,Mairie,1 place du 8 Mai 1945 ,33840,,05 56 65 60 31 ,,,,,Agent d'accueil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi au vendredi : 9h-12h/13h30-18h,,,Gratuit,,37,37,,,74,2,2,1 ou 2,,1,,,2008,1 à 2 ans,,,,Moins de 10,,,Oui,Oui,,Oui,,,Oui,,,,,,,,,,Oui,,,,,,,,Municipale,,,Relais Services Publics,,"Visio-guichet en liaison avec MSA, CAF, Pôle Emploi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,195A,5-Landes de Gascogne,Captieux et Grignols,,195,Grignols,Bibliothèque,Place de l'église ,33690,,05 56 25 51 05 ,,Agent du patrimoine,bibliotheque.grignols@wanadoo.fr,biblio-grignols33.monsite.wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mardi/vendredi : 16h30-18h, Mercredi 9h-12h/13h30-17h30, Samedi 9h-12h",,,,,13,13,,Ouvert WE,13,1,,1 ou 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
